content,score,Label,text_clean
"Hai @bibit , sepertinya kamu butuh update untuk sebuah perbaikan, kami ( rata rata banyak orang ) mengeluhkan sulit login, padahal kualitas jaringan kami sangat baik. hanya stock di gambar bibit. untuk bibit tetap aku kasih bintang 5 lho. sebab memberikan support dan masukan agar menjadi yang lebih baik, gak harus memberikan ulasan negatif. saya tunggu update nya...trmksh",5,Positif,hai   sepertinya kamu butuh update untuk sebuah perbaikan kami  rata rata banyak orang  mengeluhkan sulit login padahal kualitas jaringan kami sangat baik hanya stock di gambar bibit untuk bibit tetap aku kasih bintang  lho sebab memberikan support dan masukan agar menjadi yang lebih baik gak harus memberikan ulasan negatif saya tunggu update nyatrmksh
verivikasi ny butuh brp lma sih uda 2 hari masi ga kelar2 makin ga percaya aja ma ni app,1,Negatif,verivikasi ny butuh brp lma sih uda  hari masi ga kelar makin ga percaya aja ma ni app
proses cairnya lama,1,Negatif,proses cairnya lama
bagus aplikasinya,5,Positif,bagus aplikasinya
simple dan informasi cepat,5,Positif,simple dan informasi cepat
semoga positif hasilnya,5,Positif,semoga positif hasilnya
Mudah untuk pemula,5,Positif,mudah untuk pemula
"Sangat"" bagus aplikasinya rekomendasi yang mau investasi jangka panjang, walaupun verifikasinya susah dan lama tapi hasilnya memuaskan sekali, untuk pemula mending pake reksa dana resiko rendah, terima kasih",5,Positif,sangat bagus aplikasinya rekomendasi yang mau investasi jangka panjang walaupun verifikasinya susah dan lama tapi hasilnya memuaskan sekali untuk pemula mending pake reksa dana resiko rendah terima kasih
sangat bagus dan bermanfaat sekali,4,Positif,sangat bagus dan bermanfaat sekali
"mudah digunakan, aman terpecaya",5,Positif,mudah digunakan aman terpecaya
bagus untuk pemula yg ingin bermain reksadana pasar uang cuma kalo untuk saham masih kurang lengkap penjelasan nya,5,Positif,bagus untuk pemula yg ingin bermain reksadana pasar uang cuma kalo untuk saham masih kurang lengkap penjelasan nya
WD nya terlalu lama,5,Positif,wd nya terlalu lama
memberi rasa aman dan nyaman,5,Positif,memberi rasa aman dan nyaman
"kalau boleh saran, tolong tambahin fitur deskripsi di portofolio yang kita punya, sebagai reminder dan penyemangat untuk ga lupa nabung atau investasi. lalu tambahkan fitur untuk ganti foto profil agar lebih berwarna",5,Positif,kalau boleh saran tolong tambahin fitur deskripsi di portofolio yang kita punya sebagai reminder dan penyemangat untuk ga lupa nabung atau investasi lalu tambahkan fitur untuk ganti foto profil agar lebih berwarna
sangat membantu dalam investasi,5,Positif,sangat membantu dalam investasi
ringan dan mudah di gunakan untuk pemula yang mau belajar investasi 📊,5,Positif,ringan dan mudah di gunakan untuk pemula yang mau belajar investasi 
"dibantu min, aku kan sebelumnya memiliki perbedaan nama di KTP dan rekening, dan diminta surat pernyataan perbedaan nama dengan KTP, tapi akhirnya gak jadi karena registrasi ulang dari awal. udah tuh aku kirim semua dokumen yang diperlukan, dengan nama KTP dan rekening baru yang udah sesuai, kok sekarang malah diminta lagi surat pernyataan perbedaan nama, takutnya diapa²in nih data aku :"")",1,Negatif,dibantu min aku kan sebelumnya memiliki perbedaan nama di ktp dan rekening dan diminta surat pernyataan perbedaan nama dengan ktp tapi akhirnya gak jadi karena registrasi ulang dari awal udah tuh aku kirim semua dokumen yang diperlukan dengan nama ktp dan rekening baru yang udah sesuai kok sekarang malah diminta lagi surat pernyataan perbedaan nama takutnya diapain nih data aku 
"knpa top up gabisa masuk2 trus yaa, pdahal di rekening bank nya udh berhasil, admin nya di chat gada yg respon",3,Positif,knpa top up gabisa masuk trus yaa pdahal di rekening bank nya udh berhasil admin nya di chat gada yg respon
aplikasi bagus mudah di mengerti,5,Positif,aplikasi bagus mudah di mengerti
Bintang 1 sih... Sering eror pdhl jaringan bagus.. Kacau aplikasi kyk gini.. Mau TP malah rusak aplikasinya,1,Negatif,bintang  sih sering eror pdhl jaringan bagus kacau aplikasi kyk gini mau tp malah rusak aplikasinya
"apk nya ga bisa di buka, padahal hp bagus sinyal lancar, apa masalahnya? tolong perbaiki",1,Negatif,apk nya ga bisa di buka padahal hp bagus sinyal lancar apa masalahnya tolong perbaiki
Lama di ACC pendaftaran nya. Padahal siang sampai subuh jam 1.31 GK ada info,3,Positif,lama di acc pendaftaran nya padahal siang sampai subuh jam  gk ada info
"mau upgrade bibit plus atau mengaktifkan RDN walet susah .kalo mahasiswa harus pake KTP orang tua nomor telepon orang tua,kalo pekerjaan harus ada nomor kantor nya daerah kerja nya ,ini mau apsih sebenarnya, padahal baru kerja 2 hari di gudang paket karena lulusan tahun ini",2,Negatif,mau upgrade bibit plus atau mengaktifkan rdn walet susah kalo mahasiswa harus pake ktp orang tua nomor telepon orang tuakalo pekerjaan harus ada nomor kantor nya daerah kerja nya ini mau apsih sebenarnya padahal baru kerja  hari di gudang paket karena lulusan tahun ini
"perlu tambahan untuk penarikan rdn wallet, seperti penambahan bank"" selain bank jago agar mempermudah penarikan. Terima kasih",4,Positif,perlu tambahan untuk penarikan rdn wallet seperti penambahan bank selain bank jago agar mempermudah penarikan terima kasih
"saya mau komplain terkait lambatnya respon CS dari bibit, saya mengalami masalah login ke akun padahal saya tidak buka buka akun bibit tiba tiba di keterangannya kamu telah melampaui batas maksimal percobaan pin, karena nomer yang saya pakai untuk akun bibit sudah tidak aktif akhirnya tidak bisa mendapatkan kode verifikasi, kemudian saya menghubungi cs bibit respon super lambat saya harus menunggu 2 jam dan ini sudah 5 jam tidakk ada balasan, mohon diperbaiki kembali untuk cs bibit",1,Negatif,saya mau komplain terkait lambatnya respon cs dari bibit saya mengalami masalah login ke akun padahal saya tidak buka buka akun bibit tiba tiba di keterangannya kamu telah melampaui batas maksimal percobaan pin karena nomer yang saya pakai untuk akun bibit sudah tidak aktif akhirnya tidak bisa mendapatkan kode verifikasi kemudian saya menghubungi cs bibit respon super lambat saya harus menunggu  jam dan ini sudah  jam tidakk ada balasan mohon diperbaiki kembali untuk cs bibit
"Aplikasi nya berat ,",1,Negatif,aplikasi nya berat 
ada in fitur beli corporate bonds/obligasi korporasi,5,Positif,ada in fitur beli corporate bondsobligasi korporasi
"saya pernah daftar bibit terus saya uninstall, saya download lagi tapi lupa pin terus sama email jadi tidak bisa masuk ini bagaimana? sudah ke pusat bantuan tapi belum ada jawaban",3,Positif,saya pernah daftar bibit terus saya uninstall saya download lagi tapi lupa pin terus sama email jadi tidak bisa masuk ini bagaimana sudah ke pusat bantuan tapi belum ada jawaban
"Pilihan saya tepat karena saya pemula tapi Bibit mudah dipahami serta menjalankan semoga profit, lancar jaya.... 👍🙏🏻🤲",5,Positif,pilihan saya tepat karena saya pemula tapi bibit mudah dipahami serta menjalankan semoga profit lancar jaya 
Tolong RDPU yang saya jual uangnya belum masuk padahal saya ingin menggunakan uang itu,2,Negatif,tolong rdpu yang saya jual uangnya belum masuk padahal saya ingin menggunakan uang itu
terimakasih sudah ditindaklanjuti 🙏,5,Positif,terimakasih sudah ditindaklanjuti 
apa ada kontak w.a yg bisa d hubungin. email sya ke apus trus saya lupa sandi. apa bisa d bantu biar kebuka. di live chat g ad respon.,3,Positif,apa ada kontak wa yg bisa d hubungin email sya ke apus trus saya lupa sandi apa bisa d bantu biar kebuka di live chat g ad respon
"sering terjadi withdraw padahal di broker lain sudah match,sering kali saya buy di harga tertinggi seperti saya click buy di area 93 lalu ketika saya liat history match di area 99 bug tsb jelas sangat merugikan",1,Negatif,sering terjadi withdraw padahal di broker lain sudah matchsering kali saya buy di harga tertinggi seperti saya click buy di area  lalu ketika saya liat history match di area  bug tsb jelas sangat merugikan
Akhirnya sudah mendapatkan banyak keuntungan dengan menggunakan aplikasi ini,5,Positif,akhirnya sudah mendapatkan banyak keuntungan dengan menggunakan aplikasi ini
"aktivasi ribet nungguin 24, jam kgk kelar juga",1,Negatif,aktivasi ribet nungguin  jam kgk kelar juga
"apk sangat bagus untuk orang awam, remaja dan lain lain yang belum sepenuhnya paham tentang investasi tapi ingin berinvestasi",5,Positif,apk sangat bagus untuk orang awam remaja dan lain lain yang belum sepenuhnya paham tentang investasi tapi ingin berinvestasi
kenapa hanya bisa di pakai oleh umur 16 ke atas? bukanya itu menghambat pembisnis muda?,4,Positif,kenapa hanya bisa di pakai oleh umur  ke atas bukanya itu menghambat pembisnis muda
apk sangat bagus,5,Positif,apk sangat bagus
"admin slow resp, udah di ikutin arahannya tetap ga bisa verif, makan nih bintang 1",1,Negatif,admin slow resp udah di ikutin arahannya tetap ga bisa verif makan nih bintang 
aplikasinya sangat bagus dan cocok untuk investasi bagi pemula. Tapi saya ngk bisa registrasi akun karna alasan KTP rusak padahal KTP saya baru di benerin dan masih baru. tolong bantuanya min biar bsa registrasi tanpa paspor atau SIM karna Saya belum punya,4,Positif,aplikasinya sangat bagus dan cocok untuk investasi bagi pemula tapi saya ngk bisa registrasi akun karna alasan ktp rusak padahal ktp saya baru di benerin dan masih baru tolong bantuanya min biar bsa registrasi tanpa paspor atau sim karna saya belum punya
Cs nya sangat lambat. di tambah jika mau ganti data harus pake ini itu sangat ribet.,1,Negatif,cs nya sangat lambat di tambah jika mau ganti data harus pake ini itu sangat ribet
buruk sekali pencairannya lama uang yang kamu simpan du peterin dulu kenadanah laen jan download deh sumpah,1,Negatif,buruk sekali pencairannya lama uang yang kamu simpan du peterin dulu kenadanah laen jan download deh sumpah
sangat bermanfaat untuk Nabung terutama di reksadana,5,Positif,sangat bermanfaat untuk nabung terutama di reksadana
"syaa mengalami banyak kendala dan kesulitan dalam penarikan,.. sudah menunggu berhari hari masih pending... lalu ketika muncul notifikasi bhwa withdraw berhasil sya cek mbanking saya, belum juga ada dana yang masuk, menghubungi CS pun ckup sulit karena eror diaplikasi padahal internet saya sangat lancar diaplikasi lain😑",1,Negatif,syaa mengalami banyak kendala dan kesulitan dalam penarikan sudah menunggu berhari hari masih pending lalu ketika muncul notifikasi bhwa withdraw berhasil sya cek mbanking saya belum juga ada dana yang masuk menghubungi cs pun ckup sulit karena eror diaplikasi padahal internet saya sangat lancar diaplikasi lain
sangat mudah untuk proses registrasi sampai beli dan jual lagi di bibit keterangan uang di terima dari penjualan butuh waktu 3 hari tapi cukup menunggu 1 hari saja uang dari hasil penjualan sudah masuk ke RDN terima kasih bibit semoga sukses selalu,5,Positif,sangat mudah untuk proses registrasi sampai beli dan jual lagi di bibit keterangan uang di terima dari penjualan butuh waktu  hari tapi cukup menunggu  hari saja uang dari hasil penjualan sudah masuk ke rdn terima kasih bibit semoga sukses selalu
withdraw udah nunggu seminggu ga cair cair dah lewat 8 hari ini,1,Negatif,withdraw udah nunggu seminggu ga cair cair dah lewat  hari ini
tampilan dan informasi cukup menjelaskan,5,Positif,tampilan dan informasi cukup menjelaskan
"kenapa bibi hari ini tidak bisa di akses, kemana saya bisa hubungi. nomor WA nya tidak bisa dihubungi ka",3,Positif,kenapa bibi hari ini tidak bisa di akses kemana saya bisa hubungi nomor wa nya tidak bisa dihubungi ka
aplikasinya bagus banget cuman untuk obrolan lama banget responya Berjam jam baru di respon,3,Positif,aplikasinya bagus banget cuman untuk obrolan lama banget responya berjam jam baru di respon
bibit sangat bagus khususnya bagi pemula yang mulai belajar tengah saham da nreksadana,5,Positif,bibit sangat bagus khususnya bagi pemula yang mulai belajar tengah saham da nreksadana
RDPU instan gak bisa di cairin semua saat ada kebutuhan mendesak. Percuma fitur instan tapi ada sisa dana wajib mengendap!,1,Negatif,rdpu instan gak bisa di cairin semua saat ada kebutuhan mendesak percuma fitur instan tapi ada sisa dana wajib mengendap
bibit kapan ready cripto currency? agar mudah satu aplikasi saja untuk smua instrumen investasi saya,5,Positif,bibit kapan ready cripto currency agar mudah satu aplikasi saja untuk smua instrumen investasi saya
lumayan tapi belum di lihat sich untuk atau ngak nya,5,Positif,lumayan tapi belum di lihat sich untuk atau ngak nya
"mantap, lengkap dan jelas",4,Positif,mantap lengkap dan jelas
recommended utk pemula aplgi klo ada rek bank jago sbg RDN. sejauh ini aman2 aja gak ada kendala,5,Positif,recommended utk pemula aplgi klo ada rek bank jago sbg rdn sejauh ini aman aja gak ada kendala
cocok untuk pemula seperti saya. yeay,5,Positif,cocok untuk pemula seperti saya yeay
"saya berikan bintang 5 karna memang bagus apk ini,mudah di pahami buat saya yg pemula. semoga kedepannya lebih bagus lg dan pertahankan rantingmu",5,Positif,saya berikan bintang  karna memang bagus apk inimudah di pahami buat saya yg pemula semoga kedepannya lebih bagus lg dan pertahankan rantingmu
mantap jiwa apk bagus banget simpel untuk pemula mudah di pahami pokoknya keren dahh,5,Positif,mantap jiwa apk bagus banget simpel untuk pemula mudah di pahami pokoknya keren dahh
"platform investasi yg bagus,, sejauh ini tidak pernah mengecewakan,",5,Positif,platform investasi yg bagus sejauh ini tidak pernah mengecewakan
toll mau verifikasi aja lama banget pas Udah kelar malah di bilang salah padahal nama yang saya masukin udah sesuai dengan di KTP,1,Negatif,toll mau verifikasi aja lama banget pas udah kelar malah di bilang salah padahal nama yang saya masukin udah sesuai dengan di ktp
"Ribet banget, mau upgrade bibit plus saja dipersulit bukan main. Sudah sesuai prosedur pun, tiba2 stuck, diklik ""lanjut"", malah balik lagi ke halaman awal disuruh ulang lagi prosesnya. Begitu terus sampai belasan kali. Sudah chat bantuan, malah disuruh main game dulu, karena tiap pertanyaan akan dibalas tiap 2 jam 😭",1,Negatif,ribet banget mau upgrade bibit plus saja dipersulit bukan main sudah sesuai prosedur pun tiba stuck diklik lanjut malah balik lagi ke halaman awal disuruh ulang lagi prosesnya begitu terus sampai belasan kali sudah chat bantuan malah disuruh main game dulu karena tiap pertanyaan akan dibalas tiap  jam 
bagus aplikasinya buat nabung dan investasi,5,Positif,bagus aplikasinya buat nabung dan investasi
"sedikit saran yang bisa di pertimbangkan,tambah saham luar negri agar pengguna tidak perlu memakai aplikasi lain saat membeli saham luar negri",5,Positif,sedikit saran yang bisa di pertimbangkantambah saham luar negri agar pengguna tidak perlu memakai aplikasi lain saat membeli saham luar negri
"aneh banget tiba2 masuk notifikasi kode verifikasi, padahal saya tidak pernah menginstal app ini, mohon maaf kalo ada yg mengatasnamakan saya itu bukan saya terima kasih. atau memakai No hp saya ITU BUKAN SAYA.",1,Negatif,aneh banget tiba masuk notifikasi kode verifikasi padahal saya tidak pernah menginstal app ini mohon maaf kalo ada yg mengatasnamakan saya itu bukan saya terima kasih atau memakai no hp saya itu bukan saya
kalau pembaruan ada informasi dulu gitu bisa ga? seting banget mau narik dana ga bisa gara2 pembaruan,1,Negatif,kalau pembaruan ada informasi dulu gitu bisa ga seting banget mau narik dana ga bisa gara pembaruan
sangat dan sangat mudah untuk pemula,5,Positif,sangat dan sangat mudah untuk pemula
"apk nya nga baguss,masa upgrade bibit plus 3 hari nga selsai2, padahal tanggal vertifikasi juga sudah lewatt👎🏿👎🏿👎🏿👎🏿 kecewa sihh",1,Negatif,apk nya nga bagussmasa upgrade bibit plus  hari nga selsai padahal tanggal vertifikasi juga sudah lewatt kecewa sihh
ribet teryata daftar di sini harus pakai sim paspor dll bila KTP buram dll penting ya apa kan ada no KTP yg terdaftar pasti benar kita mau investasi duit bukan jual KTP lebih enak Reksadana di aplikasi dana sekali daftar langsung jadi,1,Negatif,ribet teryata daftar di sini harus pakai sim paspor dll bila ktp buram dll penting ya apa kan ada no ktp yg terdaftar pasti benar kita mau investasi duit bukan jual ktp lebih enak reksadana di aplikasi dana sekali daftar langsung jadi
"tolong untuk penghubungan ke bibit plus nya jgn melewati batas waktu yang sudah ditentukan, karena saya ingin beli saham tapi tidak bisa",2,Negatif,tolong untuk penghubungan ke bibit plus nya jgn melewati batas waktu yang sudah ditentukan karena saya ingin beli saham tapi tidak bisa
sangat bermanfaat yang baru mau mulai tapi takut resiko besar,5,Positif,sangat bermanfaat yang baru mau mulai tapi takut resiko besar
aplikasi ini sangat cocok untuk pemula yang baru ingin belajar investasi,5,Positif,aplikasi ini sangat cocok untuk pemula yang baru ingin belajar investasi
"Ini aplikasi sekuritas paling sampah yang pernah ada, saya withdraw tidak mulus daripada deposit nya. saya harus katakan punya rekening tidak aktif di bca mau ganti pun gabisa akhirnya ngide beli reksadana pasar uang tanda petir biar bisa withdraw di beda bank. eh taunya lama nunggu acc manajer investasi terus setelah pembelian berhasil nunggu 2-3 hari baru bisa dijual itu reksadana😂 SAMPAH SAMPAH SEKURITAS SAMPAH",1,Negatif,ini aplikasi sekuritas paling sampah yang pernah ada saya withdraw tidak mulus daripada deposit nya saya harus katakan punya rekening tidak aktif di bca mau ganti pun gabisa akhirnya ngide beli reksadana pasar uang tanda petir biar bisa withdraw di beda bank eh taunya lama nunggu acc manajer investasi terus setelah pembelian berhasil nunggu  hari baru bisa dijual itu reksadana sampah sampah sekuritas sampah
"TOLONG DONG PIHAK BIBIT AKUN SAYA GA BISA DI BUKA PAKE AKUN GOOGLE SAYA TAPI KTP SAMA NO TLPN BEDA,,,sepertinya ada indikasi penipuan dan pengsalah gunakan identitas saya",1,Negatif,tolong dong pihak bibit akun saya ga bisa di buka pake akun google saya tapi ktp sama no tlpn bedasepertinya ada indikasi penipuan dan pengsalah gunakan identitas saya
sangat memuaskan.ivntasi d bibit,4,Positif,sangat memuaskanivntasi d bibit
"Halo, aplikasi bibit yang terhubung dengan stocbit sangatlah baik, ui/ux yang menarik dan tidak lemot saat mau IPO dapet semua penjatahannya terimakasih stockbit/bibit. Tapi yang perlu ditingkatkan adalah menambahkan saham us stock karena saya tidak perlu beralih ke aplikasi yang mendukung us stock, laluyang kedua menambahkan pembelian commodity seperti emas, perak, dll di aplikasi khusus bibit . yang ketiga tambahkan juga forex mata uang seperti xaausd dll, crypto. Terimakasih",5,Positif,halo aplikasi bibit yang terhubung dengan stocbit sangatlah baik uiux yang menarik dan tidak lemot saat mau ipo dapet semua penjatahannya terimakasih stockbitbibit tapi yang perlu ditingkatkan adalah menambahkan saham us stock karena saya tidak perlu beralih ke aplikasi yang mendukung us stock laluyang kedua menambahkan pembelian commodity seperti emas perak dll di aplikasi khusus bibit  yang ketiga tambahkan juga forex mata uang seperti xaausd dll crypto terimakasih
aplikasi investasi yg sangat membantu,5,Positif,aplikasi investasi yg sangat membantu
aplikasinya ga bisa di buka,1,Negatif,aplikasinya ga bisa di buka
sangat menarik dan mudah di pahami tampilan pun simpel,5,Positif,sangat menarik dan mudah di pahami tampilan pun simpel
mau di jual kagak bisa masa iya no rekening yang terdaftar tidak sesuai padahal yang ngerekomendasiin banknya pihak bibit langsung otomatis jadi on rekening utama soalnya posisi belum punya rekening itu,1,Negatif,mau di jual kagak bisa masa iya no rekening yang terdaftar tidak sesuai padahal yang ngerekomendasiin banknya pihak bibit langsung otomatis jadi on rekening utama soalnya posisi belum punya rekening itu
saya bisa mengerti dengan konsep investasi,4,Positif,saya bisa mengerti dengan konsep investasi
sangat sangat mantap,5,Positif,sangat sangat mantap
"ganti hape, mudah Skali memindahkan aplikasi.y",5,Positif,ganti hape mudah skali memindahkan aplikasiy
Tolong tetap jaga kepercayaan investor. Sukses selalu untuk tim developer.,5,Positif,tolong tetap jaga kepercayaan investor sukses selalu untuk tim developer
tolong dibikin bisa lanskap biar di tablet enak,3,Positif,tolong dibikin bisa lanskap biar di tablet enak
habis top up langsung aplikasinya gk bisa di bukak muter muter aja. gk bisa masuk.,1,Negatif,habis top up langsung aplikasinya gk bisa di bukak muter muter aja gk bisa masuk
ini knpa yaa tiba2 akun saya gk mw kebuka,3,Positif,ini knpa yaa tiba akun saya gk mw kebuka
sangat berguna dan maksimal,5,Positif,sangat berguna dan maksimal
"aplikasi bagus untuk pemula walaupun sempet error ga bisa login tapi cepat diatasi,mungkin banyak yang investasi jadi ngebug sebentar,beberapa user ga semua kayaknya",4,Positif,aplikasi bagus untuk pemula walaupun sempet error ga bisa login tapi cepat diatasimungkin banyak yang investasi jadi ngebug sebentarbeberapa user ga semua kayaknya
dana saya masih ada di bibit ini kenapa ga bisa di buka,1,Negatif,dana saya masih ada di bibit ini kenapa ga bisa di buka
"ko tiba2 susah masuk aplikasinya ya,, pdahal jaringan internet bagus,, apa ada gangguan",3,Positif,ko tiba susah masuk aplikasinya ya pdahal jaringan internet bagus apa ada gangguan
ini knpa aplikasi kaga bisa di buka malah koneksi mulu kpa dah padahal jaringan sangat bagus ko bisa bisa nya jaringan tidak terkoneksi haduh kacau,3,Positif,ini knpa aplikasi kaga bisa di buka malah koneksi mulu kpa dah padahal jaringan sangat bagus ko bisa bisa nya jaringan tidak terkoneksi haduh kacau
"susah kali masuk ke aplikasi nya. padahal jaringannya bagus"" aja 🙂",2,Negatif,susah kali masuk ke aplikasi nya padahal jaringannya bagus aja 
"saya sudah invest lumayan lah untuk seorang pelajar, namun skrg saya malah tidak bisa masuk ke akun saya dengan alasan jaringan buruk, saya sudah konfirm ke cs tapi tidak ada jawaban, ini bagaimanapun ya ?",3,Positif,saya sudah invest lumayan lah untuk seorang pelajar namun skrg saya malah tidak bisa masuk ke akun saya dengan alasan jaringan buruk saya sudah konfirm ke cs tapi tidak ada jawaban ini bagaimanapun ya 
sangat bagus untuk pemula,5,Positif,sangat bagus untuk pemula
"terimakasih sebelum nya buat aplikasi ""BIBIT"" yang sangat sudah membantu untuk kaum masyarakat nya, kedepan nya mungkin diperbaiki lagi buat Notifikasi dari Email (Gmail)",5,Positif,terimakasih sebelum nya buat aplikasi bibit yang sangat sudah membantu untuk kaum masyarakat nya kedepan nya mungkin diperbaiki lagi buat notifikasi dari email gmail
"aplikasi bibi aku engga bisa ke buka,, kenapa yaa tolong bantuannya dong",5,Positif,aplikasi bibi aku engga bisa ke buka kenapa yaa tolong bantuannya dong
ribet. tolol mau ngambil di persulit,1,Negatif,ribet tolol mau ngambil di persulit
permisi kak admin kenapa yah saya mau login bibit ko ga bisa apa ada kendala di aplikasi nya.....,4,Positif,permisi kak admin kenapa yah saya mau login bibit ko ga bisa apa ada kendala di aplikasi nya
"mau tanya klo di bibit,kita misal punya saham lalu kita dapat deviden tahunan,,itu deviden udh otomatis di potong pajak apa belum ya klo di stockbit kan udh otomatis di potong pajak terima kasih",5,Positif,mau tanya klo di bibitkita misal punya saham lalu kita dapat deviden tahunanitu deviden udh otomatis di potong pajak apa belum ya klo di stockbit kan udh otomatis di potong pajak terima kasih
apa ini uang saya masih ada di bibit tapi harus upgrade dulu untuk tarik saldo masalah nya syarat biar ke trima upgrade harus punya pekerjaan dan saya belum bekerja atau pun punya pekerjaan,1,Negatif,apa ini uang saya masih ada di bibit tapi harus upgrade dulu untuk tarik saldo masalah nya syarat biar ke trima upgrade harus punya pekerjaan dan saya belum bekerja atau pun punya pekerjaan
app lancar dan aman,5,Positif,app lancar dan aman
"Aku top up lewat BRI kok gak masuk yah, padahal dari BRI dah sukses 😩",3,Positif,aku top up lewat bri kok gak masuk yah padahal dari bri dah sukses 
terimakasih untuk pelayanan gercepnya min,5,Positif,terimakasih untuk pelayanan gercepnya min
"aplikasi investasi simpel dan bisa dimulai dari modal kecil, cocok untuk pemula.",4,Positif,aplikasi investasi simpel dan bisa dimulai dari modal kecil cocok untuk pemula
"karena bibit saya bisa menabung saham,walau kecil tapi bisa rutin menabung dan membuat ketagihan 😂",5,Positif,karena bibit saya bisa menabung sahamwalau kecil tapi bisa rutin menabung dan membuat ketagihan 
tidak bisa masuk,1,Negatif,tidak bisa masuk
bisa tolong di bantu gak ini kenapa aplikasi bibit saya kok tidak bisa tersambung ke internet padahal internetnya tersambung,1,Negatif,bisa tolong di bantu gak ini kenapa aplikasi bibit saya kok tidak bisa tersambung ke internet padahal internetnya tersambung
"buat ku bibit ga ribet makin mantap dan pelayananya cepet respon nya mantap poko nya buat ku good ga bikin ragu lagi apa lagi kalo soal tambah bank proses nya cepet,kaya semacem saya ga pake ATM bca atau bri.jadi mudah teransaksi. ini mah makin rutin jadi nya kalo udah bisa pake SEABANK. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",5,Positif,buat ku bibit ga ribet makin mantap dan pelayananya cepet respon nya mantap poko nya buat ku good ga bikin ragu lagi apa lagi kalo soal tambah bank proses nya cepetkaya semacem saya ga pake atm bca atau brijadi mudah teransaksi ini mah makin rutin jadi nya kalo udah bisa pake seabank 
ga tau apa apa dah tar liat aja KLO nguntungin bagus,5,Positif,ga tau apa apa dah tar liat aja klo nguntungin bagus
sangat mudah di pahami tapi tolong di bantu verifikasi selalu gagal,5,Positif,sangat mudah di pahami tapi tolong di bantu verifikasi selalu gagal
proses verifikasi lama,1,Negatif,proses verifikasi lama
"penjualan sbn gak masuk rekening udah lewat 7 hari sejak tanggal 19 juni 2025,gimana ini pihak bibit mohon ditanggapi",1,Negatif,penjualan sbn gak masuk rekening udah lewat  hari sejak tanggal  juni gimana ini pihak bibit mohon ditanggapi
controlling terhadap transaksi pembayaran saham via RDN bisa lebih diawasi lagi. jangan sampai saham bloom diterima tapi saldo di RDN sudah berkurang,4,Positif,controlling terhadap transaksi pembayaran saham via rdn bisa lebih diawasi lagi jangan sampai saham bloom diterima tapi saldo di rdn sudah berkurang
Okee mantep bibit fast respon,5,Positif,okee mantep bibit fast respon
