content,score,Label,text_clean,text_StopWord,text_tokens,text_steamindo
"Mau menghubungi cs aja susahnya minta ampun. Via apk cuma pake bot aja, move ke wa bales satu jam kemudian. Coba ke ig juga gak beda jauh. Ini CS nya buruk bgt gak sigap, gimana ini udh pake Bibit lama jadi kecewa bgt perkara kinerja buruk dr CS nya",1,Negatif,mau menghubungi cs aja susahnya minta ampun via apk cuma pake bot aja move ke wa bales satu jam kemudian coba ke ig juga gak beda jauh ini cs nya buruk bgt gak sigap gimana ini udh pake bibit lama jadi kecewa bgt perkara kinerja buruk dr cs nya,menghubungi cs aja susahnya ampun via apk pake bot aja move wa bales jam coba ig gak beda cs nya buruk bgt gak sigap gimana udh pake bibit kecewa bgt perkara kinerja buruk dr cs nya,"['menghubungi', 'cs', 'aja', 'susahnya', 'ampun', 'via', 'apk', 'pake', 'bot', 'aja', 'move', 'wa', 'bales', 'jam', 'coba', 'ig', 'gak', 'beda', 'cs', 'nya', 'buruk', 'bgt', 'gak', 'sigap', 'gimana', 'udh', 'pake', 'bibit', 'kecewa', 'bgt', 'perkara', 'kinerja', 'buruk', 'dr', 'cs', 'nya']",hubung cs aja susah ampun via apk pake bot aja move wa bales jam coba ig gak beda cs nya buruk bgt gak sigap gimana udh pake bibit kecewa bgt perkara kerja buruk dr cs nya
"Hai @bibit , sepertinya kamu butuh update untuk sebuah perbaikan, kami ( rata rata banyak orang ) mengeluhkan sulit login, padahal kualitas jaringan kami sangat baik. hanya stock di gambar bibit. untuk bibit tetap aku kasih bintang 5 lho. sebab memberikan support dan masukan agar menjadi yang lebih baik, gak harus memberikan ulasan negatif. saya tunggu update nya...trmksh",5,Positif,hai   sepertinya kamu butuh update untuk sebuah perbaikan kami  rata rata banyak orang  mengeluhkan sulit login padahal kualitas jaringan kami sangat baik hanya stock di gambar bibit untuk bibit tetap aku kasih bintang  lho sebab memberikan support dan masukan agar menjadi yang lebih baik gak harus memberikan ulasan negatif saya tunggu update nyatrmksh,hai butuh update perbaikan orang mengeluhkan sulit login kualitas jaringan stock gambar bibit bibit kasih bintang lho support masukan gak ulasan negatif tunggu update nyatrmksh,"['hai', 'butuh', 'update', 'perbaikan', 'orang', 'mengeluhkan', 'sulit', 'login', 'kualitas', 'jaringan', 'stock', 'gambar', 'bibit', 'bibit', 'kasih', 'bintang', 'lho', 'support', 'masukan', 'gak', 'ulasan', 'negatif', 'tunggu', 'update', 'nyatrmksh']",hai butuh update baik orang keluh sulit login kualitas jaring stock gambar bibit bibit kasih bintang lho support masuk gak ulas negatif tunggu update nyatrmksh
verivikasi ny butuh brp lma sih uda 2 hari masi ga kelar2 makin ga percaya aja ma ni app,1,Negatif,verivikasi ny butuh brp lma sih uda  hari masi ga kelar makin ga percaya aja ma ni app,verivikasi ny butuh brp lma sih uda masi ga kelar ga percaya aja ma ni app,"['verivikasi', 'ny', 'butuh', 'brp', 'lma', 'sih', 'uda', 'masi', 'ga', 'kelar', 'ga', 'percaya', 'aja', 'ma', 'ni', 'app']",verivikasi ny butuh brp lma sih uda mas ga kelar ga percaya aja ma ni app
proses cairnya lama,1,Negatif,proses cairnya lama,proses cairnya,"['proses', 'cairnya']",proses cair
bagus aplikasinya,5,Positif,bagus aplikasinya,bagus aplikasinya,"['bagus', 'aplikasinya']",bagus aplikasi
simple dan informasi cepat,5,Positif,simple dan informasi cepat,simple informasi cepat,"['simple', 'informasi', 'cepat']",simple informasi cepat
semoga positif hasilnya,5,Positif,semoga positif hasilnya,semoga positif hasilnya,"['semoga', 'positif', 'hasilnya']",moga positif hasil
Mudah untuk pemula,5,Positif,mudah untuk pemula,mudah pemula,"['mudah', 'pemula']",mudah mula
"Sangat"" bagus aplikasinya rekomendasi yang mau investasi jangka panjang, walaupun verifikasinya susah dan lama tapi hasilnya memuaskan sekali, untuk pemula mending pake reksa dana resiko rendah, terima kasih",5,Positif,sangat bagus aplikasinya rekomendasi yang mau investasi jangka panjang walaupun verifikasinya susah dan lama tapi hasilnya memuaskan sekali untuk pemula mending pake reksa dana resiko rendah terima kasih,bagus aplikasinya rekomendasi investasi jangka verifikasinya susah hasilnya memuaskan pemula mending pake reksa dana resiko rendah terima kasih,"['bagus', 'aplikasinya', 'rekomendasi', 'investasi', 'jangka', 'verifikasinya', 'susah', 'hasilnya', 'memuaskan', 'pemula', 'mending', 'pake', 'reksa', 'dana', 'resiko', 'rendah', 'terima', 'kasih']",bagus aplikasi rekomendasi investasi jangka verifikasi susah hasil muas mula mending pake reksa dana resiko rendah terima kasih
sangat bagus dan bermanfaat sekali,4,Positif,sangat bagus dan bermanfaat sekali,bagus bermanfaat,"['bagus', 'bermanfaat']",bagus manfaat
"mudah digunakan, aman terpecaya",5,Positif,mudah digunakan aman terpecaya,mudah aman terpecaya,"['mudah', 'aman', 'terpecaya']",mudah aman terpecaya
bagus untuk pemula yg ingin bermain reksadana pasar uang cuma kalo untuk saham masih kurang lengkap penjelasan nya,5,Positif,bagus untuk pemula yg ingin bermain reksadana pasar uang cuma kalo untuk saham masih kurang lengkap penjelasan nya,bagus pemula yg bermain reksadana pasar uang kalo saham lengkap penjelasan nya,"['bagus', 'pemula', 'yg', 'bermain', 'reksadana', 'pasar', 'uang', 'kalo', 'saham', 'lengkap', 'penjelasan', 'nya']",bagus mula yg main reksadana pasar uang kalo saham lengkap jelas nya
WD nya terlalu lama,5,Positif,wd nya terlalu lama,wd nya,"['wd', 'nya']",wd nya
memberi rasa aman dan nyaman,5,Positif,memberi rasa aman dan nyaman,aman nyaman,"['aman', 'nyaman']",aman nyaman
"kalau boleh saran, tolong tambahin fitur deskripsi di portofolio yang kita punya, sebagai reminder dan penyemangat untuk ga lupa nabung atau investasi. lalu tambahkan fitur untuk ganti foto profil agar lebih berwarna",5,Positif,kalau boleh saran tolong tambahin fitur deskripsi di portofolio yang kita punya sebagai reminder dan penyemangat untuk ga lupa nabung atau investasi lalu tambahkan fitur untuk ganti foto profil agar lebih berwarna,saran tolong tambahin fitur deskripsi portofolio reminder penyemangat ga lupa nabung investasi tambahkan fitur ganti foto profil berwarna,"['saran', 'tolong', 'tambahin', 'fitur', 'deskripsi', 'portofolio', 'reminder', 'penyemangat', 'ga', 'lupa', 'nabung', 'investasi', 'tambahkan', 'fitur', 'ganti', 'foto', 'profil', 'berwarna']",saran tolong tambahin fitur deskripsi portofolio reminder semangat ga lupa nabung investasi tambah fitur ganti foto profil warna
sangat membantu dalam investasi,5,Positif,sangat membantu dalam investasi,membantu investasi,"['membantu', 'investasi']",bantu investasi
ringan dan mudah di gunakan untuk pemula yang mau belajar investasi 📊,5,Positif,ringan dan mudah di gunakan untuk pemula yang mau belajar investasi ,ringan mudah pemula belajar investasi,"['ringan', 'mudah', 'pemula', 'belajar', 'investasi']",ringan mudah mula ajar investasi
"dibantu min, aku kan sebelumnya memiliki perbedaan nama di KTP dan rekening, dan diminta surat pernyataan perbedaan nama dengan KTP, tapi akhirnya gak jadi karena registrasi ulang dari awal. udah tuh aku kirim semua dokumen yang diperlukan, dengan nama KTP dan rekening baru yang udah sesuai, kok sekarang malah diminta lagi surat pernyataan perbedaan nama, takutnya diapa²in nih data aku :"")",1,Negatif,dibantu min aku kan sebelumnya memiliki perbedaan nama di ktp dan rekening dan diminta surat pernyataan perbedaan nama dengan ktp tapi akhirnya gak jadi karena registrasi ulang dari awal udah tuh aku kirim semua dokumen yang diperlukan dengan nama ktp dan rekening baru yang udah sesuai kok sekarang malah diminta lagi surat pernyataan perbedaan nama takutnya diapain nih data aku ,dibantu min memiliki perbedaan nama ktp rekening surat pernyataan perbedaan nama ktp gak registrasi ulang udah tuh kirim dokumen nama ktp rekening udah sesuai surat pernyataan perbedaan nama takutnya diapain nih data,"['dibantu', 'min', 'memiliki', 'perbedaan', 'nama', 'ktp', 'rekening', 'surat', 'pernyataan', 'perbedaan', 'nama', 'ktp', 'gak', 'registrasi', 'ulang', 'udah', 'tuh', 'kirim', 'dokumen', 'nama', 'ktp', 'rekening', 'udah', 'sesuai', 'surat', 'pernyataan', 'perbedaan', 'nama', 'takutnya', 'diapain', 'nih', 'data']",bantu min milik beda nama ktp rekening surat nyata beda nama ktp gak registrasi ulang udah tuh kirim dokumen nama ktp rekening udah sesuai surat nyata beda nama takut diapain nih data
"knpa top up gabisa masuk2 trus yaa, pdahal di rekening bank nya udh berhasil, admin nya di chat gada yg respon",3,Positif,knpa top up gabisa masuk trus yaa pdahal di rekening bank nya udh berhasil admin nya di chat gada yg respon,knpa top up gabisa masuk trus yaa pdahal rekening bank nya udh berhasil admin nya chat gada yg respon,"['knpa', 'top', 'up', 'gabisa', 'masuk', 'trus', 'yaa', 'pdahal', 'rekening', 'bank', 'nya', 'udh', 'berhasil', 'admin', 'nya', 'chat', 'gada', 'yg', 'respon']",knpa top up gabisa masuk trus yaa pdahal rekening bank nya udh hasil admin nya chat gada yg respon
aplikasi bagus mudah di mengerti,5,Positif,aplikasi bagus mudah di mengerti,aplikasi bagus mudah mengerti,"['aplikasi', 'bagus', 'mudah', 'mengerti']",aplikasi bagus mudah erti
Bintang 1 sih... Sering eror pdhl jaringan bagus.. Kacau aplikasi kyk gini.. Mau TP malah rusak aplikasinya,1,Negatif,bintang  sih sering eror pdhl jaringan bagus kacau aplikasi kyk gini mau tp malah rusak aplikasinya,bintang sih eror pdhl jaringan bagus kacau aplikasi kyk gini tp rusak aplikasinya,"['bintang', 'sih', 'eror', 'pdhl', 'jaringan', 'bagus', 'kacau', 'aplikasi', 'kyk', 'gini', 'tp', 'rusak', 'aplikasinya']",bintang sih eror pdhl jaring bagus kacau aplikasi kyk gin tp rusak aplikasi
"apk nya ga bisa di buka, padahal hp bagus sinyal lancar, apa masalahnya? tolong perbaiki",1,Negatif,apk nya ga bisa di buka padahal hp bagus sinyal lancar apa masalahnya tolong perbaiki,apk nya ga buka hp bagus sinyal lancar tolong perbaiki,"['apk', 'nya', 'ga', 'buka', 'hp', 'bagus', 'sinyal', 'lancar', 'tolong', 'perbaiki']",apk nya ga buka hp bagus sinyal lancar tolong baik
Lama di ACC pendaftaran nya. Padahal siang sampai subuh jam 1.31 GK ada info,3,Positif,lama di acc pendaftaran nya padahal siang sampai subuh jam  gk ada info,acc pendaftaran nya siang subuh jam gk info,"['acc', 'pendaftaran', 'nya', 'siang', 'subuh', 'jam', 'gk', 'info']",acc daftar nya siang subuh jam gk info
"mau upgrade bibit plus atau mengaktifkan RDN walet susah .kalo mahasiswa harus pake KTP orang tua nomor telepon orang tua,kalo pekerjaan harus ada nomor kantor nya daerah kerja nya ,ini mau apsih sebenarnya, padahal baru kerja 2 hari di gudang paket karena lulusan tahun ini",2,Negatif,mau upgrade bibit plus atau mengaktifkan rdn walet susah kalo mahasiswa harus pake ktp orang tua nomor telepon orang tuakalo pekerjaan harus ada nomor kantor nya daerah kerja nya ini mau apsih sebenarnya padahal baru kerja  hari di gudang paket karena lulusan tahun ini,upgrade bibit plus mengaktifkan rdn walet susah kalo mahasiswa pake ktp orang tua nomor telepon orang tuakalo pekerjaan nomor kantor nya daerah kerja nya apsih kerja gudang paket lulusan,"['upgrade', 'bibit', 'plus', 'mengaktifkan', 'rdn', 'walet', 'susah', 'kalo', 'mahasiswa', 'pake', 'ktp', 'orang', 'tua', 'nomor', 'telepon', 'orang', 'tuakalo', 'pekerjaan', 'nomor', 'kantor', 'nya', 'daerah', 'kerja', 'nya', 'apsih', 'kerja', 'gudang', 'paket', 'lulusan']",upgrade bibit plus aktif rdn walet susah kalo mahasiswa pake ktp orang tua nomor telepon orang tuakalo kerja nomor kantor nya daerah kerja nya apsih kerja gudang paket lulus
"perlu tambahan untuk penarikan rdn wallet, seperti penambahan bank"" selain bank jago agar mempermudah penarikan. Terima kasih",4,Positif,perlu tambahan untuk penarikan rdn wallet seperti penambahan bank selain bank jago agar mempermudah penarikan terima kasih,tambahan penarikan rdn wallet penambahan bank bank jago mempermudah penarikan terima kasih,"['tambahan', 'penarikan', 'rdn', 'wallet', 'penambahan', 'bank', 'bank', 'jago', 'mempermudah', 'penarikan', 'terima', 'kasih']",tambah tari rdn wallet tambah bank bank jago mudah tari terima kasih
"saya mau komplain terkait lambatnya respon CS dari bibit, saya mengalami masalah login ke akun padahal saya tidak buka buka akun bibit tiba tiba di keterangannya kamu telah melampaui batas maksimal percobaan pin, karena nomer yang saya pakai untuk akun bibit sudah tidak aktif akhirnya tidak bisa mendapatkan kode verifikasi, kemudian saya menghubungi cs bibit respon super lambat saya harus menunggu 2 jam dan ini sudah 5 jam tidakk ada balasan, mohon diperbaiki kembali untuk cs bibit",1,Negatif,saya mau komplain terkait lambatnya respon cs dari bibit saya mengalami masalah login ke akun padahal saya tidak buka buka akun bibit tiba tiba di keterangannya kamu telah melampaui batas maksimal percobaan pin karena nomer yang saya pakai untuk akun bibit sudah tidak aktif akhirnya tidak bisa mendapatkan kode verifikasi kemudian saya menghubungi cs bibit respon super lambat saya harus menunggu  jam dan ini sudah  jam tidakk ada balasan mohon diperbaiki kembali untuk cs bibit,komplain terkait lambatnya respon cs bibit mengalami login akun buka buka akun bibit keterangannya melampaui batas maksimal percobaan pin nomer pakai akun bibit aktif kode verifikasi menghubungi cs bibit respon super lambat menunggu jam jam tidakk balasan mohon diperbaiki cs bibit,"['komplain', 'terkait', 'lambatnya', 'respon', 'cs', 'bibit', 'mengalami', 'login', 'akun', 'buka', 'buka', 'akun', 'bibit', 'keterangannya', 'melampaui', 'batas', 'maksimal', 'percobaan', 'pin', 'nomer', 'pakai', 'akun', 'bibit', 'aktif', 'kode', 'verifikasi', 'menghubungi', 'cs', 'bibit', 'respon', 'super', 'lambat', 'menunggu', 'jam', 'jam', 'tidakk', 'balasan', 'mohon', 'diperbaiki', 'cs', 'bibit']",komplain kait lambat respon cs bibit alami login akun buka buka akun bibit terang lampau batas maksimal coba pin nomer pakai akun bibit aktif kode verifikasi hubung cs bibit respon super lambat tunggu jam jam tidakk balas mohon baik cs bibit
"Aplikasi nya berat ,",1,Negatif,aplikasi nya berat ,aplikasi nya berat,"['aplikasi', 'nya', 'berat']",aplikasi nya berat
ada in fitur beli corporate bonds/obligasi korporasi,5,Positif,ada in fitur beli corporate bondsobligasi korporasi,in fitur beli corporate bondsobligasi korporasi,"['in', 'fitur', 'beli', 'corporate', 'bondsobligasi', 'korporasi']",in fitur beli corporate bondsobligasi korporasi
"saya pernah daftar bibit terus saya uninstall, saya download lagi tapi lupa pin terus sama email jadi tidak bisa masuk ini bagaimana? sudah ke pusat bantuan tapi belum ada jawaban",3,Positif,saya pernah daftar bibit terus saya uninstall saya download lagi tapi lupa pin terus sama email jadi tidak bisa masuk ini bagaimana sudah ke pusat bantuan tapi belum ada jawaban,daftar bibit uninstall download lupa pin email masuk pusat bantuan,"['daftar', 'bibit', 'uninstall', 'download', 'lupa', 'pin', 'email', 'masuk', 'pusat', 'bantuan']",daftar bibit uninstall download lupa pin email masuk pusat bantu
"Pilihan saya tepat karena saya pemula tapi Bibit mudah dipahami serta menjalankan semoga profit, lancar jaya.... 👍🙏🏻🤲",5,Positif,pilihan saya tepat karena saya pemula tapi bibit mudah dipahami serta menjalankan semoga profit lancar jaya ,pilihan pemula bibit mudah dipahami menjalankan semoga profit lancar jaya,"['pilihan', 'pemula', 'bibit', 'mudah', 'dipahami', 'menjalankan', 'semoga', 'profit', 'lancar', 'jaya']",pilih mula bibit mudah paham jalan moga profit lancar jaya
Tolong RDPU yang saya jual uangnya belum masuk padahal saya ingin menggunakan uang itu,2,Negatif,tolong rdpu yang saya jual uangnya belum masuk padahal saya ingin menggunakan uang itu,tolong rdpu jual uangnya masuk uang,"['tolong', 'rdpu', 'jual', 'uangnya', 'masuk', 'uang']",tolong rdpu jual uang masuk uang
terimakasih sudah ditindaklanjuti 🙏,5,Positif,terimakasih sudah ditindaklanjuti ,terimakasih ditindaklanjuti,"['terimakasih', 'ditindaklanjuti']",terimakasih ditindaklanjuti
apa ada kontak w.a yg bisa d hubungin. email sya ke apus trus saya lupa sandi. apa bisa d bantu biar kebuka. di live chat g ad respon.,3,Positif,apa ada kontak wa yg bisa d hubungin email sya ke apus trus saya lupa sandi apa bisa d bantu biar kebuka di live chat g ad respon,kontak wa yg d hubungin email sya apus trus lupa sandi d bantu biar kebuka live chat g ad respon,"['kontak', 'wa', 'yg', 'd', 'hubungin', 'email', 'sya', 'apus', 'trus', 'lupa', 'sandi', 'd', 'bantu', 'biar', 'kebuka', 'live', 'chat', 'g', 'ad', 'respon']",kontak wa yg d hubungin email sya apus trus lupa sandi d bantu biar buka live chat g ad respon
"sering terjadi withdraw padahal di broker lain sudah match,sering kali saya buy di harga tertinggi seperti saya click buy di area 93 lalu ketika saya liat history match di area 99 bug tsb jelas sangat merugikan",1,Negatif,sering terjadi withdraw padahal di broker lain sudah matchsering kali saya buy di harga tertinggi seperti saya click buy di area  lalu ketika saya liat history match di area  bug tsb jelas sangat merugikan,withdraw broker matchsering kali buy harga tertinggi click buy area liat history match area bug tsb merugikan,"['withdraw', 'broker', 'matchsering', 'kali', 'buy', 'harga', 'tertinggi', 'click', 'buy', 'area', 'liat', 'history', 'match', 'area', 'bug', 'tsb', 'merugikan']",withdraw broker matchsering kali buy harga tinggi click buy area liat history match area bug tsb rugi
Akhirnya sudah mendapatkan banyak keuntungan dengan menggunakan aplikasi ini,5,Positif,akhirnya sudah mendapatkan banyak keuntungan dengan menggunakan aplikasi ini,keuntungan aplikasi,"['keuntungan', 'aplikasi']",untung aplikasi
"aktivasi ribet nungguin 24, jam kgk kelar juga",1,Negatif,aktivasi ribet nungguin  jam kgk kelar juga,aktivasi ribet nungguin jam kgk kelar,"['aktivasi', 'ribet', 'nungguin', 'jam', 'kgk', 'kelar']",aktivasi ribet nungguin jam kgk kelar
"apk sangat bagus untuk orang awam, remaja dan lain lain yang belum sepenuhnya paham tentang investasi tapi ingin berinvestasi",5,Positif,apk sangat bagus untuk orang awam remaja dan lain lain yang belum sepenuhnya paham tentang investasi tapi ingin berinvestasi,apk bagus orang awam remaja sepenuhnya paham investasi berinvestasi,"['apk', 'bagus', 'orang', 'awam', 'remaja', 'sepenuhnya', 'paham', 'investasi', 'berinvestasi']",apk bagus orang awam remaja sepenuh paham investasi investasi
kenapa hanya bisa di pakai oleh umur 16 ke atas? bukanya itu menghambat pembisnis muda?,4,Positif,kenapa hanya bisa di pakai oleh umur  ke atas bukanya itu menghambat pembisnis muda,pakai umur bukanya menghambat pembisnis muda,"['pakai', 'umur', 'bukanya', 'menghambat', 'pembisnis', 'muda']",pakai umur buka hambat bisnis muda
apk sangat bagus,5,Positif,apk sangat bagus,apk bagus,"['apk', 'bagus']",apk bagus
"admin slow resp, udah di ikutin arahannya tetap ga bisa verif, makan nih bintang 1",1,Negatif,admin slow resp udah di ikutin arahannya tetap ga bisa verif makan nih bintang ,admin slow resp udah ikutin arahannya ga verif makan nih bintang,"['admin', 'slow', 'resp', 'udah', 'ikutin', 'arahannya', 'ga', 'verif', 'makan', 'nih', 'bintang']",admin slow resp udah ikutin arah ga verif makan nih bintang
aplikasinya sangat bagus dan cocok untuk investasi bagi pemula. Tapi saya ngk bisa registrasi akun karna alasan KTP rusak padahal KTP saya baru di benerin dan masih baru. tolong bantuanya min biar bsa registrasi tanpa paspor atau SIM karna Saya belum punya,4,Positif,aplikasinya sangat bagus dan cocok untuk investasi bagi pemula tapi saya ngk bisa registrasi akun karna alasan ktp rusak padahal ktp saya baru di benerin dan masih baru tolong bantuanya min biar bsa registrasi tanpa paspor atau sim karna saya belum punya,aplikasinya bagus cocok investasi pemula ngk registrasi akun karna alasan ktp rusak ktp benerin tolong bantuanya min biar bsa registrasi paspor sim karna,"['aplikasinya', 'bagus', 'cocok', 'investasi', 'pemula', 'ngk', 'registrasi', 'akun', 'karna', 'alasan', 'ktp', 'rusak', 'ktp', 'benerin', 'tolong', 'bantuanya', 'min', 'biar', 'bsa', 'registrasi', 'paspor', 'sim', 'karna']",aplikasi bagus cocok investasi mula ngk registrasi akun karna alas ktp rusak ktp benerin tolong bantuanya min biar bsa registrasi paspor sim karna
Cs nya sangat lambat. di tambah jika mau ganti data harus pake ini itu sangat ribet.,1,Negatif,cs nya sangat lambat di tambah jika mau ganti data harus pake ini itu sangat ribet,cs nya lambat ganti data pake ribet,"['cs', 'nya', 'lambat', 'ganti', 'data', 'pake', 'ribet']",cs nya lambat ganti data pake ribet
buruk sekali pencairannya lama uang yang kamu simpan du peterin dulu kenadanah laen jan download deh sumpah,1,Negatif,buruk sekali pencairannya lama uang yang kamu simpan du peterin dulu kenadanah laen jan download deh sumpah,buruk pencairannya uang simpan du peterin kenadanah laen jan download deh sumpah,"['buruk', 'pencairannya', 'uang', 'simpan', 'du', 'peterin', 'kenadanah', 'laen', 'jan', 'download', 'deh', 'sumpah']",buruk cair uang simpan du peterin kenadanah laen jan download deh sumpah
sangat bermanfaat untuk Nabung terutama di reksadana,5,Positif,sangat bermanfaat untuk nabung terutama di reksadana,bermanfaat nabung reksadana,"['bermanfaat', 'nabung', 'reksadana']",manfaat nabung reksadana
"syaa mengalami banyak kendala dan kesulitan dalam penarikan,.. sudah menunggu berhari hari masih pending... lalu ketika muncul notifikasi bhwa withdraw berhasil sya cek mbanking saya, belum juga ada dana yang masuk, menghubungi CS pun ckup sulit karena eror diaplikasi padahal internet saya sangat lancar diaplikasi lain😑",1,Negatif,syaa mengalami banyak kendala dan kesulitan dalam penarikan sudah menunggu berhari hari masih pending lalu ketika muncul notifikasi bhwa withdraw berhasil sya cek mbanking saya belum juga ada dana yang masuk menghubungi cs pun ckup sulit karena eror diaplikasi padahal internet saya sangat lancar diaplikasi lain,syaa mengalami kendala kesulitan penarikan menunggu berhari pending muncul notifikasi bhwa withdraw berhasil sya cek mbanking dana masuk menghubungi cs ckup sulit eror diaplikasi internet lancar diaplikasi,"['syaa', 'mengalami', 'kendala', 'kesulitan', 'penarikan', 'menunggu', 'berhari', 'pending', 'muncul', 'notifikasi', 'bhwa', 'withdraw', 'berhasil', 'sya', 'cek', 'mbanking', 'dana', 'masuk', 'menghubungi', 'cs', 'ckup', 'sulit', 'eror', 'diaplikasi', 'internet', 'lancar', 'diaplikasi']",syaa alami kendala sulit tari tunggu hari pending muncul notifikasi bhwa withdraw hasil sya cek mbanking dana masuk hubung cs ckup sulit eror aplikasi internet lancar aplikasi
sangat mudah untuk proses registrasi sampai beli dan jual lagi di bibit keterangan uang di terima dari penjualan butuh waktu 3 hari tapi cukup menunggu 1 hari saja uang dari hasil penjualan sudah masuk ke RDN terima kasih bibit semoga sukses selalu,5,Positif,sangat mudah untuk proses registrasi sampai beli dan jual lagi di bibit keterangan uang di terima dari penjualan butuh waktu  hari tapi cukup menunggu  hari saja uang dari hasil penjualan sudah masuk ke rdn terima kasih bibit semoga sukses selalu,mudah proses registrasi beli jual bibit keterangan uang terima penjualan butuh menunggu uang hasil penjualan masuk rdn terima kasih bibit semoga sukses,"['mudah', 'proses', 'registrasi', 'beli', 'jual', 'bibit', 'keterangan', 'uang', 'terima', 'penjualan', 'butuh', 'menunggu', 'uang', 'hasil', 'penjualan', 'masuk', 'rdn', 'terima', 'kasih', 'bibit', 'semoga', 'sukses']",mudah proses registrasi beli jual bibit terang uang terima jual butuh tunggu uang hasil jual masuk rdn terima kasih bibit moga sukses
