content,score,Label
semoga positif hasilnya,5,Positif
Mudah untuk pemula,5,Positif
"Sangat"" bagus aplikasinya rekomendasi yang mau investasi jangka panjang, walaupun verifikasinya susah dan lama tapi hasilnya memuaskan sekali, untuk pemula mending pake reksa dana resiko rendah, terima kasih",5,Positif
sangat bagus dan bermanfaat sekali,4,Positif
"mudah digunakan, aman terpecaya",5,Positif
bagus untuk pemula yg ingin bermain reksadana pasar uang cuma kalo untuk saham masih kurang lengkap penjelasan nya,5,Positif
WD nya terlalu lama,5,Positif
memberi rasa aman dan nyaman,5,Positif
"kalau boleh saran, tolong tambahin fitur deskripsi di portofolio yang kita punya, sebagai reminder dan penyemangat untuk ga lupa nabung atau investasi. lalu tambahkan fitur untuk ganti foto profil agar lebih berwarna",5,Positif
sangat membantu dalam investasi,5,Positif
ringan dan mudah di gunakan untuk pemula yang mau belajar investasi 📊,5,Positif
"dibantu min, aku kan sebelumnya memiliki perbedaan nama di KTP dan rekening, dan diminta surat pernyataan perbedaan nama dengan KTP, tapi akhirnya gak jadi karena registrasi ulang dari awal. udah tuh aku kirim semua dokumen yang diperlukan, dengan nama KTP dan rekening baru yang udah sesuai, kok sekarang malah diminta lagi surat pernyataan perbedaan nama, takutnya diapa²in nih data aku :"")",1,Negatif
"knpa top up gabisa masuk2 trus yaa, pdahal di rekening bank nya udh berhasil, admin nya di chat gada yg respon",3,Positif
aplikasi bagus mudah di mengerti,5,Positif
Bintang 1 sih... Sering eror pdhl jaringan bagus.. Kacau aplikasi kyk gini.. Mau TP malah rusak aplikasinya,1,Negatif
"apk nya ga bisa di buka, padahal hp bagus sinyal lancar, apa masalahnya? tolong perbaiki",1,Negatif
Lama di ACC pendaftaran nya. Padahal siang sampai subuh jam 1.31 GK ada info,3,Positif
"mau upgrade bibit plus atau mengaktifkan RDN walet susah .kalo mahasiswa harus pake KTP orang tua nomor telepon orang tua,kalo pekerjaan harus ada nomor kantor nya daerah kerja nya ,ini mau apsih sebenarnya, padahal baru kerja 2 hari di gudang paket karena lulusan tahun ini",2,Negatif
"perlu tambahan untuk penarikan rdn wallet, seperti penambahan bank"" selain bank jago agar mempermudah penarikan. Terima kasih",4,Positif
"saya mau komplain terkait lambatnya respon CS dari bibit, saya mengalami masalah login ke akun padahal saya tidak buka buka akun bibit tiba tiba di keterangannya kamu telah melampaui batas maksimal percobaan pin, karena nomer yang saya pakai untuk akun bibit sudah tidak aktif akhirnya tidak bisa mendapatkan kode verifikasi, kemudian saya menghubungi cs bibit respon super lambat saya harus menunggu 2 jam dan ini sudah 5 jam tidakk ada balasan, mohon diperbaiki kembali untuk cs bibit",1,Negatif
"Aplikasi nya berat ,",1,Negatif
ada in fitur beli corporate bonds/obligasi korporasi,5,Positif
"saya pernah daftar bibit terus saya uninstall, saya download lagi tapi lupa pin terus sama email jadi tidak bisa masuk ini bagaimana? sudah ke pusat bantuan tapi belum ada jawaban",3,Positif
"Pilihan saya tepat karena saya pemula tapi Bibit mudah dipahami serta menjalankan semoga profit, lancar jaya.... 👍🙏🏻🤲",5,Positif
Tolong RDPU yang saya jual uangnya belum masuk padahal saya ingin menggunakan uang itu,2,Negatif
terimakasih sudah ditindaklanjuti 🙏,5,Positif
apa ada kontak w.a yg bisa d hubungin. email sya ke apus trus saya lupa sandi. apa bisa d bantu biar kebuka. di live chat g ad respon.,3,Positif
"sering terjadi withdraw padahal di broker lain sudah match,sering kali saya buy di harga tertinggi seperti saya click buy di area 93 lalu ketika saya liat history match di area 99 bug tsb jelas sangat merugikan",1,Negatif
Akhirnya sudah mendapatkan banyak keuntungan dengan menggunakan aplikasi ini,5,Positif
"aktivasi ribet nungguin 24, jam kgk kelar juga",1,Negatif
"apk sangat bagus untuk orang awam, remaja dan lain lain yang belum sepenuhnya paham tentang investasi tapi ingin berinvestasi",5,Positif
kenapa hanya bisa di pakai oleh umur 16 ke atas? bukanya itu menghambat pembisnis muda?,4,Positif
apk sangat bagus,5,Positif
"admin slow resp, udah di ikutin arahannya tetap ga bisa verif, makan nih bintang 1",1,Negatif
aplikasinya sangat bagus dan cocok untuk investasi bagi pemula. Tapi saya ngk bisa registrasi akun karna alasan KTP rusak padahal KTP saya baru di benerin dan masih baru. tolong bantuanya min biar bsa registrasi tanpa paspor atau SIM karna Saya belum punya,4,Positif
Cs nya sangat lambat. di tambah jika mau ganti data harus pake ini itu sangat ribet.,1,Negatif
buruk sekali pencairannya lama uang yang kamu simpan du peterin dulu kenadanah laen jan download deh sumpah,1,Negatif
sangat bermanfaat untuk Nabung terutama di reksadana,5,Positif
"syaa mengalami banyak kendala dan kesulitan dalam penarikan,.. sudah menunggu berhari hari masih pending... lalu ketika muncul notifikasi bhwa withdraw berhasil sya cek mbanking saya, belum juga ada dana yang masuk, menghubungi CS pun ckup sulit karena eror diaplikasi padahal internet saya sangat lancar diaplikasi lain😑",1,Negatif
sangat mudah untuk proses registrasi sampai beli dan jual lagi di bibit keterangan uang di terima dari penjualan butuh waktu 3 hari tapi cukup menunggu 1 hari saja uang dari hasil penjualan sudah masuk ke RDN terima kasih bibit semoga sukses selalu,5,Positif
withdraw udah nunggu seminggu ga cair cair dah lewat 8 hari ini,1,Negatif
tampilan dan informasi cukup menjelaskan,5,Positif
"kenapa bibi hari ini tidak bisa di akses, kemana saya bisa hubungi. nomor WA nya tidak bisa dihubungi ka",3,Positif
aplikasinya bagus banget cuman untuk obrolan lama banget responya Berjam jam baru di respon,3,Positif
bibit sangat bagus khususnya bagi pemula yang mulai belajar tengah saham da nreksadana,5,Positif
RDPU instan gak bisa di cairin semua saat ada kebutuhan mendesak. Percuma fitur instan tapi ada sisa dana wajib mengendap!,1,Negatif
bibit kapan ready cripto currency? agar mudah satu aplikasi saja untuk smua instrumen investasi saya,5,Positif
lumayan tapi belum di lihat sich untuk atau ngak nya,5,Positif
"mantap, lengkap dan jelas",4,Positif
recommended utk pemula aplgi klo ada rek bank jago sbg RDN. sejauh ini aman2 aja gak ada kendala,5,Positif
cocok untuk pemula seperti saya. yeay,5,Positif
"saya berikan bintang 5 karna memang bagus apk ini,mudah di pahami buat saya yg pemula. semoga kedepannya lebih bagus lg dan pertahankan rantingmu",5,Positif
mantap jiwa apk bagus banget simpel untuk pemula mudah di pahami pokoknya keren dahh,5,Positif
"platform investasi yg bagus,, sejauh ini tidak pernah mengecewakan,",5,Positif
toll mau verifikasi aja lama banget pas Udah kelar malah di bilang salah padahal nama yang saya masukin udah sesuai dengan di KTP,1,Negatif
"Ribet banget, mau upgrade bibit plus saja dipersulit bukan main. Sudah sesuai prosedur pun, tiba2 stuck, diklik ""lanjut"", malah balik lagi ke halaman awal disuruh ulang lagi prosesnya. Begitu terus sampai belasan kali. Sudah chat bantuan, malah disuruh main game dulu, karena tiap pertanyaan akan dibalas tiap 2 jam 😭",1,Negatif
bagus aplikasinya buat nabung dan investasi,5,Positif
"sedikit saran yang bisa di pertimbangkan,tambah saham luar negri agar pengguna tidak perlu memakai aplikasi lain saat membeli saham luar negri",5,Positif
"aneh banget tiba2 masuk notifikasi kode verifikasi, padahal saya tidak pernah menginstal app ini, mohon maaf kalo ada yg mengatasnamakan saya itu bukan saya terima kasih. atau memakai No hp saya ITU BUKAN SAYA.",1,Negatif
kalau pembaruan ada informasi dulu gitu bisa ga? seting banget mau narik dana ga bisa gara2 pembaruan,1,Negatif
sangat dan sangat mudah untuk pemula,5,Positif
"apk nya nga baguss,masa upgrade bibit plus 3 hari nga selsai2, padahal tanggal vertifikasi juga sudah lewatt👎🏿👎🏿👎🏿👎🏿 kecewa sihh",1,Negatif
ribet teryata daftar di sini harus pakai sim paspor dll bila KTP buram dll penting ya apa kan ada no KTP yg terdaftar pasti benar kita mau investasi duit bukan jual KTP lebih enak Reksadana di aplikasi dana sekali daftar langsung jadi,1,Negatif
"tolong untuk penghubungan ke bibit plus nya jgn melewati batas waktu yang sudah ditentukan, karena saya ingin beli saham tapi tidak bisa",2,Negatif
sangat bermanfaat yang baru mau mulai tapi takut resiko besar,5,Positif
aplikasi ini sangat cocok untuk pemula yang baru ingin belajar investasi,5,Positif
"Ini aplikasi sekuritas paling sampah yang pernah ada, saya withdraw tidak mulus daripada deposit nya. saya harus katakan punya rekening tidak aktif di bca mau ganti pun gabisa akhirnya ngide beli reksadana pasar uang tanda petir biar bisa withdraw di beda bank. eh taunya lama nunggu acc manajer investasi terus setelah pembelian berhasil nunggu 2-3 hari baru bisa dijual itu reksadana😂 SAMPAH SAMPAH SEKURITAS SAMPAH",1,Negatif
"TOLONG DONG PIHAK BIBIT AKUN SAYA GA BISA DI BUKA PAKE AKUN GOOGLE SAYA TAPI KTP SAMA NO TLPN BEDA,,,sepertinya ada indikasi penipuan dan pengsalah gunakan identitas saya",1,Negatif
sangat memuaskan.ivntasi d bibit,4,Positif
"Halo, aplikasi bibit yang terhubung dengan stocbit sangatlah baik, ui/ux yang menarik dan tidak lemot saat mau IPO dapet semua penjatahannya terimakasih stockbit/bibit. Tapi yang perlu ditingkatkan adalah menambahkan saham us stock karena saya tidak perlu beralih ke aplikasi yang mendukung us stock, laluyang kedua menambahkan pembelian commodity seperti emas, perak, dll di aplikasi khusus bibit . yang ketiga tambahkan juga forex mata uang seperti xaausd dll, crypto. Terimakasih",5,Positif
aplikasi investasi yg sangat membantu,5,Positif
aplikasinya ga bisa di buka,1,Negatif
sangat menarik dan mudah di pahami tampilan pun simpel,5,Positif
mau di jual kagak bisa masa iya no rekening yang terdaftar tidak sesuai padahal yang ngerekomendasiin banknya pihak bibit langsung otomatis jadi on rekening utama soalnya posisi belum punya rekening itu,1,Negatif
saya bisa mengerti dengan konsep investasi,4,Positif
sangat sangat mantap,5,Positif
"ganti hape, mudah Skali memindahkan aplikasi.y",5,Positif
Tolong tetap jaga kepercayaan investor. Sukses selalu untuk tim developer.,5,Positif
tolong dibikin bisa lanskap biar di tablet enak,3,Positif
habis top up langsung aplikasinya gk bisa di bukak muter muter aja. gk bisa masuk.,1,Negatif
ini knpa yaa tiba2 akun saya gk mw kebuka,3,Positif
sangat berguna dan maksimal,5,Positif
"aplikasi bagus untuk pemula walaupun sempet error ga bisa login tapi cepat diatasi,mungkin banyak yang investasi jadi ngebug sebentar,beberapa user ga semua kayaknya",4,Positif
dana saya masih ada di bibit ini kenapa ga bisa di buka,1,Negatif
"ko tiba2 susah masuk aplikasinya ya,, pdahal jaringan internet bagus,, apa ada gangguan",3,Positif
ini knpa aplikasi kaga bisa di buka malah koneksi mulu kpa dah padahal jaringan sangat bagus ko bisa bisa nya jaringan tidak terkoneksi haduh kacau,3,Positif
"susah kali masuk ke aplikasi nya. padahal jaringannya bagus"" aja 🙂",2,Negatif
"saya sudah invest lumayan lah untuk seorang pelajar, namun skrg saya malah tidak bisa masuk ke akun saya dengan alasan jaringan buruk, saya sudah konfirm ke cs tapi tidak ada jawaban, ini bagaimanapun ya ?",3,Positif
sangat bagus untuk pemula,5,Positif
"terimakasih sebelum nya buat aplikasi ""BIBIT"" yang sangat sudah membantu untuk kaum masyarakat nya, kedepan nya mungkin diperbaiki lagi buat Notifikasi dari Email (Gmail)",5,Positif
"aplikasi bibi aku engga bisa ke buka,, kenapa yaa tolong bantuannya dong",5,Positif
ribet. tolol mau ngambil di persulit,1,Negatif
permisi kak admin kenapa yah saya mau login bibit ko ga bisa apa ada kendala di aplikasi nya.....,4,Positif
"mau tanya klo di bibit,kita misal punya saham lalu kita dapat deviden tahunan,,itu deviden udh otomatis di potong pajak apa belum ya klo di stockbit kan udh otomatis di potong pajak terima kasih",5,Positif
apa ini uang saya masih ada di bibit tapi harus upgrade dulu untuk tarik saldo masalah nya syarat biar ke trima upgrade harus punya pekerjaan dan saya belum bekerja atau pun punya pekerjaan,1,Negatif
app lancar dan aman,5,Positif
"Aku top up lewat BRI kok gak masuk yah, padahal dari BRI dah sukses 😩",3,Positif
terimakasih untuk pelayanan gercepnya min,5,Positif
"aplikasi investasi simpel dan bisa dimulai dari modal kecil, cocok untuk pemula.",4,Positif
"karena bibit saya bisa menabung saham,walau kecil tapi bisa rutin menabung dan membuat ketagihan 😂",5,Positif
tidak bisa masuk,1,Negatif
bisa tolong di bantu gak ini kenapa aplikasi bibit saya kok tidak bisa tersambung ke internet padahal internetnya tersambung,1,Negatif
"buat ku bibit ga ribet makin mantap dan pelayananya cepet respon nya mantap poko nya buat ku good ga bikin ragu lagi apa lagi kalo soal tambah bank proses nya cepet,kaya semacem saya ga pake ATM bca atau bri.jadi mudah teransaksi. ini mah makin rutin jadi nya kalo udah bisa pake SEABANK. 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍",5,Positif
ga tau apa apa dah tar liat aja KLO nguntungin bagus,5,Positif
sangat mudah di pahami tapi tolong di bantu verifikasi selalu gagal,5,Positif
proses verifikasi lama,1,Negatif
"penjualan sbn gak masuk rekening udah lewat 7 hari sejak tanggal 19 juni 2025,gimana ini pihak bibit mohon ditanggapi",1,Negatif
controlling terhadap transaksi pembayaran saham via RDN bisa lebih diawasi lagi. jangan sampai saham bloom diterima tapi saldo di RDN sudah berkurang,4,Positif
Okee mantep bibit fast respon,5,Positif
sering reload / tidak menyambung koneksi. padahal sudah pembaruan dan jaringan inet bagus.,3,Positif
sangat bagus di badingaka tabungan bank,5,Positif
"baguss ,enk buat klo ada uang dingin,apalgi tabungan buat anak,,jdi aman ga kepake wae ,berpapun bisa di simpen",5,Positif
tidak cair.. katanya 2-7hri sudah lebih gk ad dana masuk....,1,Negatif
sangat bagus tapi bank jagonya bermasalah,5,Positif
"tdi nya mau nyoba inves d bibit, tpi gak tau kenapa app nya gak ke buka terus, yang muncul suruh periksa jarngan internet, pake wifi/data gak bisa, pdahal pake app lain lancar"" aja",3,Positif
"lama bgt verifikasi nya udah 2 hari, masih nunggu verifikasi dari bibit. kocak kocak, kenapa harus nunggu verifikasi sih????",1,Negatif
"ribet, nomor telpon yang terdaftar sudah tidak aktif, mau login minta nomor KTP, sudah diberi nomor KTP, nomor vertifikasi harus dikirim ke nomor terdaftar, padahal sudah tidak aktif, tidak ada pilihan lewat email. komplainpun balasannya lama kali, baru dilempar sana sini balasannya. Mau cairkan danapun tidak bisa lewat aplikasi bibit, harus lewat aplikasi ewalet dimana kita beli Reksadana ini, baru aplikasi ewalet yang kupakai ini juga tidak bisa ganti nomor, ya udah ikhlasin aja.",1,Negatif
"Yang terhormat admin Bibit Semoga aja semakin maju dan terus berkembang.. bisa bekerja sama dengan bank lainnya juga termasuk BRI dan BSI untuk dibuat withdraw transfer, bukan cuma di BCA dan Bank jago aja yang dimana Bank jago apk banyak problem nya sekian trimakasih🙏",5,Positif
"baru bikin akun, gagal verifikasi karena pas foto ktp ga jelas padahal emang dari kelurahannya dapetnya begitu. disuruh upload sim dan atau pasport kebetulan dua2nya ga punya, terus udah coba chat di menu bantuan minta solusi yang jawab bot terus gak bisa kasih solusi, jelek banget pelayanan komunikasinya ke pelanggan",1,Negatif
"tolong pihak admin slow respon sekali, saya padahal urgent mau melakukan transaksi tidak bisa terbuka halamannya. bagaimana ini? saya udh nunggu 2 hari masih berproblem dan belum ada jalan dari bantuan cs bibit. Tolong lah padahal sengaja saya chat malam dan sekarang pagi sekali tetap tidak fastrsspon, dan saya udah coba via web di laptop juga gak bisa tetap sama ketika mau buka transaksi gabisa sama sekali, gimana saya mau bayar orderan invest saya lagi klo virtual account nya tidak muncul",3,Positif
saya mau verifikasi email tapi verifikasi nya tidak pernah masuk ke email saya aneh sekali. sudah sebulah lebih seperti itu karena itu saya tidak bisa masuk ke akun bibit saya.,1,Negatif
Bagus rekomendasi buat yang ingin nabung tapi duit tetep ngalir walaupun di tinggal tidur (khusus buat RDPU),5,Positif
proses pencairan lama. nunggu verifikasi dari management 1 mingguan. saya coba cairin 2 reksadana yang 1 ada tanda petir dan yang satu nggak ada sama aja dia duanya lama.bahkan di salah satu reksa dana yang saya cairin ada yang berhasil di history namun dana belum masuk ke rekening. chat customer servisnya juga nggak di balas tolong lah apa ini...,2,Negatif
"aplikasi bagus, cocok utk investasi",5,Positif
tampilan menu mudah dipahami,5,Positif
"perbaiki apk saat transaksi nyaa pencairan instan nya dan bug apk,sistem kemanan nya",2,Negatif
"min kenapa akses verifikasi masih belum centang padahal udah melebihi tanggal yang di tentukan , kalau udah beres verif nanti saya balik lagi kasih bintang 5",1,Negatif
di tingkatkan lagi untuk pelayanannya,5,Positif
jelek bibit responnya kurang memuaskan mau masuk ke akun lama mau ganti nomer baru juga susah. tolong dong perbaiki . jelek banget . kekurangan bibit mana saya sudah chat,1,Negatif
pendaftaran nya susah bgt,2,Negatif
"saya ada kendala dengan opsi pengiriman kode otp, tolong tambahkan opsi pengiriman kode otp melalui email. saya punya akun bibit sudah lama jarang di buka. pas saya mau buka lupa pin nya,akhirnya harus mengubah pin sedangkan nomor telepon yg terdaftar sudah hilang. jadi kesulitan untuk pengiriman kode otp nya. tolong di bantu developer",5,Positif
investasi yg paling aman mudah di pahami buat pemula,5,Positif
kk tolong dong saya mau masuk ke akun bibit. bibit bilang nya ada sekrup yg lepas padahal email dan no hp masih sama cuma ganti hp doang masa nga bisa akses ya,1,Negatif
Kenapa aplikasi bibit hari ini tidak bisa dibuka ya ?kata nya jaringan jelek tapi buat ig sama tt lancar mohon bantuannya,2,Negatif
min kenapa mau masuk aplikasi ga bisa ya?,5,Positif
"SUDAH MASUK RDN WALLETNYA WALAUPUN TIDAK SESUAI DENGAN WAKTU YANG TERTERA, NAMUN SUDAH MASUK, MANTAP SUKSES TERUS",5,Positif
verifikasi nya lama banget udah seminggu juga ga selesai-selesai ga rekomendasi sih ini,1,Negatif
"serius yang kurang disini top up rdn nya gak masuk"" udah 2jam nunggu cuman ini yg paling lemot dari semua apk",1,Negatif
knp loading lama banget...,5,Positif
"tolongg CS, tolong jawabb, akun google saya yang terdaftar di bibit di retas, jadi tolong saya bantu mengembalikan akses ke akun bibit saya",1,Negatif
"tolong dong ini gimana saya udah topup tapi uangnya masuknya ke cash dan gak bisa buat beli saham kenapa ya ,hadehh bingung banget ribed",2,Negatif
"Tolong, untuk penghapusan akun secara permanen dipermudah di menu aplikasi. Sangat rumit terlalu bertele-tele saat ingin melalukan penutupan akun bibit.",1,Negatif
"saya heran, kenapa bibit itu kalo masukin reksadana itu nanggung banget ya? kaya sucorinvest anak pintar dan i hajj itu gaada? padahal kedua track recordnya bagus.",4,Positif
"Aplikasi yang cocok buat investor pemula, semoga Bibit berkembang lebih baik. Aamiin",5,Positif
Terima kasih aplikasi bibit telah memperbaiki kesalahan penulisan alamat pada akun saya dan aplikasi bibit adalah aplikasi terbaik untuk investor pemula. karna akun saya udah benar saya kasih bintang 5,5,Positif
terkadang ada erorr dan tolong perbaiki tampilan agar lebih memudahkan pengguna,4,Positif
cara mudah bagi kita yg baru belajar investasi.,5,Positif
"min kenapa akun saya saat melakukan verifikasi lama bngt, padahal di keterangannya tanggal 22 tapi sampai sekarang belum terverifikasi, dan gimana saya mau mulai investasi",5,Positif
"aplikasi bagus, daftar menu mudah dipahami, dan tampilan nya simple, serta investasi dari reksa dana sampai saham, namun yang jadi masalah mengenai pin login yang agak ribet, gk bisa pake finger print, terus harus pake 6 digit(gw sering nya pake 4 digit doang makanya lupa) alhasil disuruh untuk ganti pin dengan menuliskan nomor KTP, nah ketika ingin mendapatkan kode Verifikasi disitu malah dikirim ke nomor acak tak dikenal, padahal jelas saya pas registrasi masukin nomor asli pribadi saya!",4,Positif
untuk selebihnya aplikasi bibit cukup baik untuk investasi tapi Saranya saya mind untuk kedapannya jika ada pemeliharaan sistem dari aplikasi bibit tolong kasih informasi sebelumnyah entah melalui pesan email akan ada perbaikan sistem.untuk selebihnya udah bagus 👍,5,Positif
Aplikasi tidak bisa terbuka..!!,1,Negatif
woi kenapa tidak bisa diakses di Android ppk,3,Positif
"kemari baru daftar dan hari ini udah di konfirmasi buat bisa langsung investasi tapi di aku apk ga berjalan ya? data"" udah lengkap ga bisa di buka katanya gangguan sinyal di hp padahal sinyal udah bagus internet banyak. ini namanya penipuan berkedok.",1,Negatif
Gimana caranya jika lupa pin dan juga email saya sudah di blokir? ganti email make pin sedangkan saya juga lupa pin dan disaat ganti pin malah terkirim email yg lama? lah gimana tuh,2,Negatif
min saya pernah masuk bibit tapi pakai nomer dulu yg hp.y hilang sama kartu2nya mau login lagi pakai nomer baru gk bisa krna sudah terdaftar niknya . gimana solusinya?🙏,5,Positif
cs ga respon sama sekali. cocok sudah bintang 1,1,Negatif
"Saya Top Up Di Rdn Wallet Kenapa Tidak masuk ya saldo nya🥺, mana lagi saldo buat tabung malah hilang",1,Negatif
"Tolong setiap detil tidak bisa dibuka, pasar uang, produk avris ada kas mutiara tidak pernah update dari tgl 13 Juni, tolong di update datanya , produk mandiri pasar uang syariah ekstra mendadak hilang dari listnya, padahal sedang kita pantau produknya, tolong di perbaiki atau diupdate",1,Negatif
"potongannya sangat banyak, bukannya tabungan menambah pas di ambil cuman sisa dikit",1,Negatif
"Aplikasi lemot registrasi akun bank lama banget prosesnya, tolon dong bibit gimana sih ini lemot banget mau registrasi bank",1,Negatif
ngaco aplikasinya minta masukin no KTP. pas di masukin nomor. anda salah. aneh,1,Negatif
"apa data pribadi disini aman ?, entahlah setelah mendaftar dan memasukan data pribadi ada banyak orang nelfon , aku cari di get contact isinya penipu, kang sepam , bahkan satu hati ini ada 24 nomer yang nelfon dan sama semua mungkin orang yang sama atau perusahaan yang sama entahlah",3,Positif
"semenjak update aplikasi tidak bisa dibuka alias error,apa kah yang saya sudah hilang,, tolong bibit kembalikan uang saya",1,Negatif
"ui simpel, mudah dipahami untuk pemula dan berbagai pilihan investasi ada semua di sini. reksadana, saham, obligasi, sbn lengkap. mantap banget dan memuaskan. metode pembayaran juga beragam dan tidak dikenakan biaya admin. sangat cuan bagi investor pemula.",5,Positif
"masukan saja, untuk fitur hapus portofolio tolong diadakan dong. keliatan mengganggu melihat portofolio kosong hehehe, oya juga tambah kan fitur menambahkan robo advisor di portofolio yang sebelumnya tidak ada robo advisor nya. terimakasih",5,Positif
"sudah bisa dan udh buat yg pasar uang, terima kasih",5,Positif
mudah dimengerti utk pemula yg mau berinvestasi,5,Positif
kecewe sama in aplikasi untuk upgrade ke bbit plus aj susahnya minta ampun udh laporin ke cs malah d read doang hadeh,3,Positif
"aplikasinya lambat ngelek² biar jaringan bagus ttp ngelek² lambat,tolong la di perbaikan biar lancar",1,Negatif
"nyesel invest di bibit. customer diperkenankan bayar biaya admin saat membeli unit, giliran dijual unitnya bank kustodian potongin pencairan dana waktu di transfer. rugi bgt invest di sini, nyesel. udah komplen tanggepannya bertele-tele, katanya karena bank yg aku pake nama rekeningnya beda. jelas² pake no. rek yg sama, padahal itu juga gabisa diubah data nama rekening di sistem. dikira customer gabisa literasi kah?",1,Negatif
Gampang dipahami terutama untuk pemula jdi sambil berlajar sedikit sedikit,5,Positif
"mohon di update list produk reksadana yg membagikan dividen, dan detail produk dapat dilihat saat ada di keranjang. tujuannya supaya mudah mengajak teman bergabung ke bibit dengan penjelasan sekian",4,Positif
fitur penjualannya lama saya lihat history penjualan nya sudah berhasil yang saya jual Reksadana bni am dan bri begitu saya cek akun bni saya kok yang masuk cuma penjualan bni am nya aja yang bri nya kaga masuk2 saya udah nunggu 5 hari masih nga masuk sangat mengecewakan saya😭😭,1,Negatif
"verifikasi nya lama banget,,kayak yang banyak banget data diri yang harus di verifikasi",3,Positif
bagus untuk loncatan pertama berinvestasi,5,Positif
Menarik untuk UI Nya,5,Positif
"Maaf saya kurangin, krna terlalu lama untuk transaksi. Katanya maks 3 hari kerja untuk reksa dana pasar uang, sedangkan sekarang sudah hari ke enam, dana saya masih belum masuk.",1,Negatif
"mantab sih, tapi harus punya duit yang banyak.",5,Positif
"aplikasi ini hanya bis di withdraw ke bank BCA saya kalau seperti saya yg di aceh, susah melakukannya, dikarenakan untuk membuat akun bank BCA tau Ketika bermasalah akun Bank nya jarak tempuh untuk pengurusannya 1 malam perjalanan",1,Negatif
aplikasi ini sebenarnya bagus untuk belajar instrumen saham tapi kurang memuaskan saya pencairan dari tgl 3 juni akan cair di tgl 11/12...9 hari kerja? keren kan.. walaupun ada cuti bersama ataupun sabtu minggu libur untuk pasar saham. sekedar saran saja untuk platform bibit agar memberikan notifikasi pemberitahuan diawal seperti jika ingin pencairan/pengambilan saldo RDN tgl ... maka maks akan tersedia di tanggal.... apakah anda ingin melanjutkan?... lebih baik diberikan notifikasi seperti itu.,3,Positif
kenapa aplikasinya tidak bisa dibuka yaa,2,Negatif
investasi saya tidak bisa dijual dan uang tidak bisa ditarik. Tolong uang saya dikembalikan gimana sih udah gak ada hasil uang gak bisa ditarik kecewa banget gini jadinya,2,Negatif
"sempet bingung gra2 ke blokir , tpi pusat bantuan mudah di hubungi dan di bantu buat buka akun dan perbaiki data. trimkasih bibit",5,Positif
"Proses verifikasi lama, estimasi sehari kerja, tapi sampai sekarang belum juga terverifikasi",3,Positif
proses verifikasi data terlalu lama sampe 3 hr belom ada konfirmasi verifikasi dari bibit,1,Negatif
"Penarikan dana terlalu lama. Saya masih belum mengerti terkait penarikan di jam 13:01-13:59. Disana tertulis bahwa kalau penarikan di jam tersebut, dana bisa langsung masuk di hari yg sama. Tetapi sudah 4 hari tidak masuk-masuk. Padahal dana tersebut lagi butuh banget",2,Negatif
"kasi bintang 2 dulu masa reksa saya tidak bisa di jual, tertara tulisan penjualan dapat dilakukan sekitar 2 sampai 3 hari padahal udah lewat tapi tetep tidak bisa dijual aneh banget",2,Negatif
"halo bibit, saya sudah punya akun bibit tetapi saya lupa email dan no hp, saya ingin membuka kembali akun saya apakah bisa 🙏🙏",5,Positif
