userName,score,at,content
Karim,4,2025-04-30 20:28:57,saya sebagai pengguna selama 3 tahun ini sangat senang dengan bibit sdh lebih baik dalam segiapapun saya harap komitmen membuat aplikasi lebih baik lagi dan membuat pengguna semakin terbantu dalam mengelola keuangan semakin di tingkat kan
heru dandi,3,2025-04-30 11:56:30,"untuk sementara 3 dulu ya, soal nya baru pake belum ada 1 bulan, oh iya sekalian mau nanya saya beli saham pas harga turun tapi kok belum diproses ya padahal harga nya naik lagi sesudah saya beli, dan naik nya cukup signifikan"
Kemal R,5,2025-04-30 10:17:23,tolong dong saya mau witdraw tapi masuk ke saldo y lama bgt udah mah t padahal ege dr kemarin tapi blom Oge masuk saldo
Mahdi Masykur,2,2025-04-30 10:15:10,"aplikasi ini hanya bis di withdraw ke bank BCA saya kalau seperti saya yg di aceh, susah melakukannya, dikarenakan untuk membuat akun bank BCA tau Ketika bermasalah akun Bank nya jarak tempuh untuk pengurisannya 1 malam perjalanan"
Irfan Hari,1,2025-04-29 22:21:56,pada saat penjualan reksadana pasar uang nominal dana yg masuk ke rekening tidak sesuai dengan apa yg tertera di bukti penjualan nya
Apris Martin,5,2025-04-29 14:20:09,"Alhamdulillah sangat membantu sekali dalam berinvestasi semoga kedepannya semakin rajin menabung untuk investasi, Terima kasih Bibit"
Sadad Duta,5,2025-04-29 14:11:56,aplikasinya bagus dan memiliki tampilan yang baik serta memberikan beberapa pengertian terkait istilah istilah yang ada. sehingga memudahkan pemakai aplikasi dalam membeli Reksadana dan lain lainnya
Bagaskara Satria,3,2025-04-29 10:10:32,"Kritik & Saran: upaya aplikasi Bibit dalam menyediakan layanan investasi reksa dana yang mudah diakses oleh masyarakat. Namun demikian, saya ingin menyampaikan beberapa masukan terkait kualitas layanan pelanggan. Pertama, Respons Customer service dalam menangani perubahan nomor telepon dan PIN terbilang lambat. Proses ini menjadi kurang efisien dan menyulitkan pengguna, terlebih ketika membutuhkan penanganan cepat untuk menjaga keamanan akun. 🙏🙏🙏😉"
M. Maulana Firdaus,3,2025-04-29 08:14:04,"Kurangnya dari aplikasi ini adlh yang harus menautkan akun ini itu baru bisa investasi dan penarikannya juga lumayan lama, saya melakukan 2 penarikan yang pertama pencairannya maximal 3 hari, lalu saya menarik untuk kedua kalinya dan batas waktunya 2 hari, ini kurang wort it untuk yang butuh dana darurat harus menunggu lama."
wahyu chairizal,5,2025-04-28 14:56:21,bagus banget sampai sekarang semoga kedepannya tetap bagus
Mahesa Adam,1,2025-04-28 12:14:11,"ribet, login ga bisa dibikin gampang. wajib pake sms lah . misscall lah."
Fatah Rachmat,4,2025-04-27 23:45:26,"apk yang bagus, tapi kenapa perbaikan verifikasi data lama sekali ?"
Rizky Fadilah,1,2025-04-27 10:23:08,Pencairan kok lama banget ya sekarang udah dari tgl 24 kemarin dana gak masuk2. Mohon segera di tindaklanjuti tim admin. Saya tunggu dana saya kembali. Terimakasih...
Adha Mhmd Fdlh,5,2025-04-26 19:26:20,"sedikit saran,bagi saya sebagai kuli untuk upgrade ke bibit plus itu sulit,karna pekerjaan yang tidak formal,untuk mengisi pertanyaan tempat dan alamat kantor itu tidak bisa di isi dengan asal"
Suriadi Amirdana,5,2025-04-26 18:49:13,mudah dipahami untuk pemula
Alfin Alamsyah,2,2025-04-26 12:26:48,kenapa gak bisa login lagi ? dan tertulis jaringan eror terus sebulan lebih
Suwarto Pasboy,5,2025-04-25 20:51:00,"kenapa bibit gak ada dompet gitu ,jadi dana dari penjualan rd gak langsung masuk rekening dan masuk ke dompet dlu"
Arsyad Taha,5,2025-04-25 14:16:45,"permisi kak, maaf saya habis jual obligasi negara, tulisan nya deposit berhasil tapi saldo RDN saya belum bertambah, solusi nya gimana ya? saya sudah menghubungi chat support tapi belum ada jawaban"
KHA _89,5,2025-04-25 14:15:59,fiktur bagus dan lengkap trus maju dan berkembang dan amanah
islam kristen sama saja Hacker Perampok,5,2025-04-25 09:41:05,aplikasi paling ringan ukuran nya di android paling aman ada opsi login pakai nomor HP dan opsi login pakai akun google pribadi pokoknya lengkap dan paling aman
EGI Nasihin,1,2025-04-25 07:35:53,"pusat bantuanya jelek banget,"
Richardo Kurnia Novianto,3,2025-04-25 06:03:28,"ini baru download kok ga bisa masuk2 ya kak, udah coba pake data atau wifi tapi tulisan nya periksa koneksi internet terus"
Irregirl channel,5,2025-04-24 16:12:50,"mudah banget, gampang banget buat pemula yang gak mau ribet kek aku"
sonny purboyo,5,2025-04-24 13:34:08,aplikasi investasi Reksadana dengan pilihan reksa yang banyak dan pencairan cepat
Miftachul Arifin,4,2025-04-24 13:23:31,"Kontrol investasi paling oke, menurutku. Secara ketersediaan tempat, berikut informasinya. Walau, masih agak sulit untuk paham poin-poinnya."
Ati Nursanti,5,2025-04-24 09:14:58,bibit sangat membantu untuk pemula yg ingin berinvestasi
martinus Saikmat,5,2025-04-23 21:38:29,apk dengan interface yang mudah di pahami
Arindah Mu'asyaroh,5,2025-04-23 21:33:24,"Top markotop lahh. Pelayanannya bagus bgt, adminnya tanggap² soalnya."
ricardo nadapdap,1,2025-04-23 18:19:11,"Fitur pencairan instannya patut dipertanyakan. Pencairan RDN instan katanya, tapi ketika WD malah harua nunggu 7 hari kerja. Di aplikasi lain apa yg dijanjikan beneran diberikan, pake bibit malah lambat. Nyesal pake appsnya"
yuli yanty,3,2025-04-23 10:58:32,buka akun bibit susah harus selfie sama KTP akhirnya gagal karena camera HP burem padahal mau buru2 invest
Hayadin 95,5,2025-04-23 10:33:40,aplikasinya bagus buat belajar IP
Hadi genZ,5,2025-04-23 09:09:09,"aplikasi yang relevan bagus buat investasi saham , pasar uang atau apapun"
Josh Boo,1,2025-04-23 09:08:39,"ga bisa login ke bibit,padahal lagi trading saham saya,dan koneksi internet lancar dan sudah update bibit appsnya"
feb.,5,2025-04-23 06:51:40,"Aplikasi ini sangat membantu dalam hal manage keuangan. Terutama dalam menabung, karena saya menggunakannya. Sudah beberapa kali saya melakukan penarikan dan hasil nya sangat terjamin keamanannya. Semoga apk ini mempertahankan keunggulannya dan tetap berkembang."
Nugroho JW,5,2025-04-21 17:21:03,Aplikasi sangat bagus dan mudah digunakan
sembiring business,1,2025-04-20 20:44:00,Customer servicenya lama bgt. Di respon berjam-jam hingga keesokan harinya baru di bales. Gua gak ngerekomendasiin deh untuk pakai apk ini.
Muh Rezky ramadhan Ramadhan,3,2025-04-20 06:12:24,verifikasinya kenapa lama sekali ya saya udah 2 hari nunggu belum selesai selesai
Four Seven,4,2025-04-19 17:03:31,tolong dong min tambah in biar bisa beli emas digital kayak dulu atau di upgrade dong butuh banget buat kaum pengen bisa punya emas tolong dong min
Saeful Millah Nvta,5,2025-04-19 06:04:10,bagi saya yg pemula dalam Hal invest dg modal recehan Bibit Apk Terbaik
Willy Nur Wahyudi (Newbie),5,2025-04-19 05:57:23,"Semakin bagus nih bibit buat investasi pemula bagi saya,,,👍😁"
Nur Diana,5,2025-04-19 05:35:46,"aplikasinya bgus bngt, tpi yang saya sayangkan saya ngga bisa hapus portofolio saya. padahal semua isi sudah saya pindahkan ke portofolio yang baru. udah lihat bantuan dari aplikasinya tpi tetap ngga ada pilihan untuk hapus portofolio"
Anwar Efendi,4,2025-04-18 22:41:56,"tempat investasi paling mudah dipelajari. UI nyaman dilihat, sistem mudah dan lengkap. terbaik dibandingkan aplikasi serupa. saran mungkin bisa ditambahkan model investasi Emas, crypto"
Valentinus Farrel,5,2025-04-17 20:58:22,Sangat membantu dan detail
Nastiti Nur,1,2025-04-17 19:46:49,kecewa tiba tiba bibit sedang dalam pemeliharaan setelah d masukin uang lumyan gede.iseng masukin 100 aman MSI bisa pencairan instan.pinter kali di awal d permudah orang makin percaya malah dalam perbaikan aneh balikin duit kuu
Red Armys,5,2025-04-17 16:38:50,"5 bintang lah buat aplikasinya semuanya aman dan lancar memang masih ada masalah di bagian penarikan uang nya itu butuh waktu 2 hari, kalau memang belum masuk di hari ke dua bisa (chat support) walaupun nunggu lama sekitar 2 jam tapi uang langsung masuk ke rekening kalau memang ada yang mengalami masalah yang sama di penarikan yang sangat lama bisa (chat support) nya, thanks bibit"
andi pust,3,2025-04-17 15:15:48,"aslinya sih bagus ya,tapi udah dua kali saya mengalami kerugian tapi bukan karena saya,yang pertama pas aku beli Barito uang nya ga masuk,terus pas udah masuk,pengen cepet cepet beli,eh nilai saham nya sudah naik tinggi banget. terus pernah aku mau beli saham Antam,padahal udah ku beli dan status nya udah open,tiba tiba besok nya ga ke beli,terus uang ku juga tiba tiba kembali,pas aku mau beli lagi,harga saham nya juga udah naik drastis lagi. ga tau ini bug atau apa,tapi ini merugikan saya bange"
Kartika Alfa,4,2025-04-17 09:03:20,"Aplikasi bibit tidak bisa dibuka, padahal koneksi internet saya aman² saja tidak ada masalah. Tolong 🙏"
Rey Roy,1,2025-04-17 08:18:44,saya udah donlod tapi saat login lamaaaaaaaaa kalii padahal coneksi stabil lancar. sampai 2minggu gk bisa login.
DAY HANDSINE,1,2025-04-17 02:33:25,"apk penyedot uang, giliran transaksi depo cepet , giliran tarik lamanya minta ampun. GK rekomen buat siapa saja."
Naisakaira Bella1711,4,2025-04-16 17:29:27,"mohon bantuannya kenapa saya ngak bisa masuk ke akun bibit,padahal sinyalnya bagus"
lenii Marlina,5,2025-04-16 14:18:30,sebagai pemula sangat rekomendasi.. simpel 🔥🔥👍👍👍
Ulfa,1,2025-04-16 10:50:54,proses verifikasinya lama bgt udh 2 hari blm selesai jadi belum bisa melakukan transaksi...
Katiman Aeya,5,2025-04-15 16:11:27,kenapa akhir2 ini buka aplikasi bibit kok gak bisa?
Muhammad Rizky,2,2025-04-15 15:53:15,"witdraw nya ribey harus nunggu proses 2 -3 hari kerja , lama sekali,"
Yusnan Marbun,2,2025-04-15 15:43:35,keren tapi atur rekening susah
Marno 123,5,2025-04-15 14:53:38,"alhamdulilah akun ilang bisa balik lagi makasih,bibit debes pokonamah"
Austin O'Brien,1,2025-04-15 13:41:37,"Layak bintang 1 karena tidak di rekomendasikan untuk yang dana nya receh. iseng investasi di RDPU nominal 100 ribu? ternyata pas jual kena fee 3,500 wkwk untung kagak rugi iya wkwk. padahal sebelum beli tulisan nya gratis penjualan wkwk"
aguez supriyadin,4,2025-04-14 23:35:57,hanya investasi emas & crypto yg belum tersedia. semoga segera hadir di bibit.
Reza,4,2025-04-14 22:45:20,bagus tapi kalo bisa reksa dana update datanya setiap hari
Audy Rahman,3,2025-04-14 20:17:19,kenapa data saya belum juga di verifikasi ? padahal sudah lewat 3 hari nunggu
Ikhsan 95,5,2025-04-14 16:28:31,Alhamdulillah akhir akhir ini bibit memberikan keuntungan yg pasti the best lah bibit
mihawk dracul,4,2025-04-14 10:47:43,"saya sudah buat akun bibit, tapi email saya sudah tidak dipakai dan mau verifikasi ulang pin, bagaimana cara nya"
Agus Tardiyanto,5,2025-04-14 09:17:00,"mantab,semoga rejeki lancar di aplikasi ini🙏🙏"
Fuad Hasan,5,2025-04-13 14:01:29,"ini termasuk apk investasi buat pemula yg bagus, mantap lah pokoknya"
Purnomo Sandhy,5,2025-04-11 11:10:24,bagus buat investasi dari jangka panjang maupun jangka pendek
Muhamadaziz Aziz,1,2025-04-11 05:28:33,apk sangat lemot sekali ..saya kasih bintang satu aja
Joo HaWe,1,2025-04-11 02:20:22,"makin lama makin GK jelas ni apk, masak apk sekelas bibit susah untuk di buka, tolong di perbaikin, udah hampir tiga Minggu GK bisa akses, udah hapus cache, cookie, uninstall, instal lagi tetap sama!"
Yoga Fajar Nugraha,5,2025-04-10 14:07:10,bagus buat pemula yang mau investasi
Hendra Suprianto,5,2025-04-10 01:54:58,"untuk ke depan nya,transaksi jual beli reksa dana nya mohon di percapat"
Zik Keri20,1,2025-04-09 22:46:59,"Pencarian lama, nunggu verifikasi penjualan aja hampir 10 hari, Trus nunggu lagi 7 hari baru uang di transfer ke rekening pencarian, hadeh ga lagi-lagi deh😪 kelamaan, padahal cuma 500ribu tapi lama bener pencariannya"
Chris Alvi,1,2025-04-09 22:21:48,"cocok bgt untuk pemula tapi sayang harus wajib terhubung sama akun bang jago dan stockbit,KLO ada masalah kayak lupa pw itu udh kayak badut GK bisa NGAPA-NGAPAIN!! (cuman bisa reksa dana aja) bikin pusing knp GK disatuin aja app stockbit sama bibit dan TOLONG dipermudah agar bisa pakai akun selain bank jago, saya ada kendala lupa pw akun bank jago dah lama, akunnya terhubung sama email lama yang saya hapus dikarenakan Handphone saya dicuri beserta dengan nomor handphonenya"
yusi toys,5,2025-04-09 20:39:16,so far Paling konsisten untuk jual beli saham dan paling sportif keep in that way yaa
Maleh Bari,5,2025-04-09 16:16:38,"Coba dulu, kalo bagus lanjut terus. sejauh ini memuaskan"
Habib saylendra,5,2025-04-09 15:54:33,bagus bgt buat yang mau belajar saham informasi mudah dimengerti saya sudah 3 bulan belajar saham dri bibi bintang 5 josssss
Harris Setiadi,5,2025-04-09 15:07:18,"bagus, mudah dimengerti"
Muhammad Alamsyah,4,2025-04-09 09:18:33,UInya mudah dipahami
Maulana yusuf Jiwandharu,2,2025-04-09 05:11:11,"tolong pihak bibit aset nya ga bisa di jual asik tulisan nya ""penjual hanya bisa saat 2-3 hari jam kerja"" tapi sampai skrng blm bisa di jual...."
Dede Firmansyah,5,2025-04-08 14:03:01,"Kumplit sih dan akrg baru tau ada intrumen jual beli saham,Tinggal adain instrumen nabung emas, dan crypto"
Ranap Fransiskus Togatorop,1,2025-04-08 13:53:18,aplikasi nggak bisa dibuka dan jika buat akun katanya beda orang padahal sama aja cuman itu KTP pas masa sma sudah 6 tahun yakali buat KTP baru
SLAMET DIO SAPUTRA,2,2025-04-08 06:43:20,ini gmnaa yaaa saya udah investasi 1jt udahh hampir seminggu ga naik naik mau di jual jugaa gabisa terus saya coba investasi kn 100ribu Lg siapa tau ada yg eror tp sampe skrng juga blum ada perubahan mau jual pun gada tombol jualnya nuggu 2/3hari kerja padahal udah lebih dari 3hari yg 100ribu sedangkan yg 1jt udah lebih dari 2minggu tolong bgt di kasih solusinya
zeze po,1,2025-04-08 01:49:36,"bibit anehh verifikasi nya udah kayak pinjol segala pake kamera muka trs sama KTPnya, kocak aneh bgt"
Alam Curup,1,2025-04-07 18:06:22,"aku saya lupa pin, saat ingin rubah pin di suruh masukan no KTP, udah 100 kali di coba malah no KTP tidak sesuai, padahal sudah benar KTP nya, tanya solusi ke WA admin gak ada respon, intinya tidak ada solusi dalam penyelesaian masalah."
Rohman Marwan,1,2025-04-06 14:02:57,mau jualnya ribet pin salah GK bisa di ulang harus pakai KTP jdi malas mau nambah saldonya juga
Editgoc Gallery,3,2025-04-06 12:56:18,"ada apa dengan bibit sekarang Chat ke cs gagal mulu padahal ngga ada yg salah ama koneksi internet, cuma mau nanya kenapa saldo aku yg uda match penjualan saham dari tgl 26 Maret belum muncul2 smpe sekarang (06/04/25) di RDN wallet?"
opik hidayat,1,2025-04-06 07:24:15,"pencairan reksa dana katanya maksimal 7 hari ini udah lebih belum cair cair juga,terus udah nanya cs tetep aja malah dikasih tau nya gitu,kecewa berat sih dalam hal pengalaman ini"
Nur Rozikin,5,2025-04-05 21:32:14,masukan agar ada invest emas dong dengan fasilitas cetak fisik.thx
Aris Gunaefi,1,2025-04-05 20:37:47,"Nyimpen Dana Darurat di produk Reksadana Pasar Uang yg ada logo pencairan Instan (logo petir), tapi pas melakukan penjualan buat pencairan Dana karena ada kebutuhan mendesak, malah Dana nya baru bisa cair butuh 7 hari kerjaa. kaloo fiturnya ngga bisa di pake ngapain di sediain, next kalo gini terus pindahin dana ke platfrom marketplace reksadana lain. SANGAT MENGECEWAKAN"
Hafizd Bima ALM,1,2025-04-05 11:02:17,setelah daftar... hp gw diteror banyak pinjoll.. gimana sih ini
Rocket Rockers,5,2025-04-05 00:37:08,"Dari sekian jauh nya belum nemu kendala, namun sekarang menemukan kendala, dimana saya tidak bisa membuka aplikasi bibit, sudah saya uninstall dan download ulang, tetap saja tidak terbuka aplikasi bibit ini. mohon bantuannya!"
Reay 30,1,2025-04-04 21:51:38,"notif elit masalah sulit, 2 jam tanpa respon cs, intruksi 13.01-13.59 hoax sama aja kyk jam biasa masih 3 hari kerja atau lebih dana baru cair dan saya belum ada kabar berita, fitur instant cair nya seenak jidad ditiadakan atau di adakan seakan-akan kami yang perlu terus buat apa sibuk ngiklan in terus-terus an sampe penuh sama notif dari bibit sudah semau-mau giliran sepi aplikasi teriak-teriak sponsor sana sini inget aplikasi anda bukan satu-satu nya jadi jangan seenak jidad kyk pemerintah"
kodz Journey,5,2025-04-04 20:48:16,"respon admin nya bagus, quick respon."
Anindita Aurelia,3,2025-04-03 10:35:35,udh upgrade biar pencairan instan ttp aja nunggu 7 hari🙄
febrian vernando,1,2025-04-02 19:09:29,kecewa.. fitur pencairan instan tiba-tiba tidak bisa. padahal sudah percaya sama ekosistem bibit.. klo kayak gini orang yang menyimpan dana daruratnya direksadana yang ada fitur pencairan instan apa kabar... syarat dan ketentuan tidak ada masalah. hanya saja dari pihak kalian mengatakan fitur itu bisa digunakan kembali di tanggal 09/04/25. padahal kemarin saya coba iseng narik 100 ribu bisa dilakukan
TAUFIK,1,2025-04-02 11:01:05,"aplikasi sangat buruk terutama, yang menangapi ketika ad yang bermasalah juga tidak dapat membantu menyelesaikan masalah dalam registrasi , aplikasi ngak guna"
EgIf Kurnyawan,3,2025-04-02 10:19:46,tidak bisa login ke tautan akun sering error
Dante Kobi,3,2025-04-02 09:04:55,"aplikasi nya lumayan bagus tapi untuk pelayanan Customer Service nya di WhatsApp lama banget responnya, apalagi saya ini baru pertama kali investasi di aplikasi Bibit ini"
Luki Puji Rahayu,5,2025-04-02 08:15:36,"Thankyou aplikasi Bibit, mengajarkan ku untuk konsisten tabung & sisihkan mulai dari 10K lewat Reksadana (pasar uang) rajin menabung hari ini nikmati passive income di masa depan 😜🥳🙌🌟"
Alfonso Hannafi,5,2025-04-01 18:51:37,bagus fiturnya dan bisa dipakai dengan aman
cevi taufik,3,2025-03-29 20:40:50,terlalu banyak notifikasi
Nunue,2,2025-03-29 12:04:16,proses pencairan dana terlalu lama......
irrul 's,5,2025-03-28 21:33:01,"aplikasi ini sangat berguna sekali untuk pemula, tampilannya user friendly dan mudah dipahami"
Rangga Yudistira,1,2025-03-28 21:19:10,jual saham pasar dari 26 Maret sampe sekarang ga masuk masuk aneh katanya 2 hari kerja hadeuh estimasi malah tangal 9 parah sih
Septian Galih,5,2025-03-28 09:32:47,bagus dan detail
MR. 04,1,2025-03-27 22:54:39,"verifikasi nya ga logis,udah coba berkali² gatau mana yg salah bener bener mengecewakan,pdahal udah berharap bakalan bisa buat belajar malah ngecewain,mending kurangin noh verifikasinya apk lain aja ga seketat itu"
Deden Sulaeman,5,2025-03-27 16:04:26,"bagus , sangat menolong dan membantu tuk berpikir buka usaha yang diterima rakyat dan saya sendiri , ingin punya usaha seperti yg lain"
Oky Kurniawan2010,1,2025-03-27 08:47:37,Tadinya saya suka tetapi ada kesalahan penyajian data . CNMA deviden 4 rupiah yang akan dibagikan April nanti 2025. bukan 9 rupiah. Tetapi di sistem corporate actionya ditulis 9. 9 adalah deviden 2024 yang 5 rupiah sudah dibagian di intern dibulan 11 . 4 rupiah nanti di april
Muhammad Riki Hasanuddin,5,2025-03-26 23:34:21,"Bibit Sudah Bagus, Kalau Bisa Penjualan Ke RDN Wallet nya tidak ada Biaya Admin nya. supaya Ber Invest Lebih Banyak Mendapatkan Keuntungan tanpa takut ada potongan Admin Ketika Melakukan Penjualan, karena di Bibit Bank Penampung Banyak Dari pihak Bank BCA. Selebihnya termasuk OKE"
Dudi Supriyadi,1,2025-03-26 13:01:19,"Rating hasil beli dari shopee ya gini, saya lupa pin coba chat cs balesnya bot, di tunggu beberapa menit gak ada jawaban, hati"" resiko kehilangan uang di aplikasi ini sangat tinggi"
Risky kiki,2,2025-03-26 12:31:46,"Harus tingkat kan lagi pelayanan Biar nasabah saham dan lain2 semakin memuaskan. Contoh Deposit cepat, pembelian saham hrus di percepat, jgn diwaktu pembelian saham tgl nya 24 maret 2025,proses nya tgl 30 maret 2025,itu memperlambat, itu aja"
Rio Alter,5,2025-03-26 12:06:43,aplikasi yg sangat mudah dipahami sy sebagai pemula dgn berbagai kemudahan untuk berinvestasi
Marwan Arif Yusup,5,2025-03-26 08:30:58,cocok buat pemula yang ingin belajar investasi
Adrian Ryan,5,2025-03-26 06:40:20,"nabung lebih gampang, uang bertumbuh ✅"
Agung'ger,1,2025-03-25 19:18:05,"kenapa pas saya ngejual reksa dana 95.000, yang masuk cuma 22 ribu min? butuh penjelasan ini"
Osse Kiki,5,2025-03-24 07:07:20,Aplikasi investasi terpercaya buat kamu yang ingin mulai berinvestasi skala kecil menengah!
Candikuning A,5,2025-03-20 12:25:35,bertumbuh wlpun sedikit2 tp terus.
raharjo prawiro,1,2025-03-20 08:06:56,"boss, mau kelola obligasi kenapa rumit? tidak ada opsi WD nya? adanya cuma opsi deposit aja...."
muhammad umar,5,2025-03-19 00:40:03,Pas buat nabung bulanan dan sangat bagus buat pemula investasi 💝🙏
Candra Pratama,1,2025-03-18 20:54:26,Saya baru mau coba jadi belum begitu paham dan menarik
Muhammad Nazar,1,2025-03-17 16:33:26,"Sangat buruk. Penarikan keuntungan sangat lambat masuk ke rekening tujuan, saya sudah 1 minggu penarikan , tapi gak masuk2 ke rekening bank saya. Mmg bibit2 penipu rakyat. Platform lain penarikan hanya butuh 1 mnit saja."
Ki Kuy,3,2025-03-16 21:37:43,"Min di sya tidak bisa di buka aplikasi nya knapa ya, pdhl udh update"
anyviralvideos,5,2025-03-15 04:25:07,"Aplikasinya bagus, namun sudah saatnya bibit menambah list produk reksadananya, pilihan produk yang ada sekarang jauh lebih sedikit dibandingkan kompetitor lainnya."
